"","bld_plt1_01_0_1.mzML","bld_plt1_01_120_1.mzML","bld_plt1_01_600_1.mzML","bld_plt1_01_720_1.mzML","bld_plt1_03_0_1.mzML","bld_plt1_03_480_1.mzML","bld_plt1_03_600_1.mzML","bld_plt1_04_240_1.mzML","bld_plt1_04_480_1.mzML","bld_plt1_04_600_1.mzML","bld_plt1_05_240_1.mzML","bld_plt1_05_480_1.mzML","bld_plt1_05_600_1.mzML","bld_plt1_07_120_1.mzML","bld_plt1_07_240_1.mzML","bld_plt1_07_600_1.mzML","bld_plt1_08_240_1.mzML","bld_plt1_08_600_1.mzML","bld_plt1_08_720_1.mzML","bld_plt1_10_0_1.mzML","bld_plt1_10_120_1.mzML","bld_plt1_10_600_1.mzML","bld_plt2_01_240_1.mzML","bld_plt2_01_480_1.mzML","bld_plt2_03_120_1.mzML","bld_plt2_03_240_1.mzML","bld_plt2_03_720_1.mzML","bld_plt2_04_0_1.mzML","bld_plt2_04_120_1.mzML","bld_plt2_04_720_1.mzML","bld_plt2_05_0_1.mzML","bld_plt2_05_120_1.mzML","bld_plt2_05_720_1.mzML","bld_plt2_07_0_1.mzML","bld_plt2_07_480_1.mzML","bld_plt2_07_720_1.mzML","bld_plt2_08_0_1.mzML","bld_plt2_08_120_1.mzML","bld_plt2_08_480_1.mzML","bld_plt2_10_240_1.mzML","bld_plt2_10_480_1.mzML","bld_plt2_10_720_1.mzML","skin_01_0_UB.mzML","skin_01_120_UB.mzML","skin_01_240_UB.mzML","skin_01_480_UB.mzML","skin_01_600_UB.mzML","skin_01_720_UB.mzML","skin_03_0_UB.mzML","skin_03_120_UB.mzML","skin_03_240_UB.mzML","skin_03_480_UB.mzML","skin_03_600_UB.mzML","skin_03_720_UB.mzML","skin_04_0_UB.mzML","skin_04_120_UB.mzML","skin_04_240_UB.mzML","skin_04_480_UB.mzML","skin_04_600_UB.mzML","skin_04_720_UB.mzML","skin_05_0_UB.mzML","skin_05_120_UB.mzML","skin_05_240_UB.mzML","skin_05_480_UB.mzML","skin_05_600_UB.mzML","skin_05_720_UB.mzML","skin_07_0_UB.mzML","skin_07_120_UB.mzML","skin_07_240_UB.mzML","skin_07_480_UB.mzML","skin_07_600_UB.mzML","skin_07_720_UB.mzML","skin_08_0_UB.mzML","skin_08_120_UB.mzML","skin_08_240_UB.mzML","skin_08_480_UB.mzML","skin_08_600_UB.mzML","skin_08_720_UB.mzML","skin_10_0_UB.mzML","skin_10_120_UB.mzML","skin_10_240_UB.mzML","skin_10_480_UB.mzML","skin_10_600_UB.mzML","skin_10_720_UB.mzML"
"X9002_150.063_4.963",0,0,185.35068,57.32955,0,0,111.4226,0,0,496.61798,0,0,0,276.11902,88.203415,345.31912,962.82654,0,51.15745,428.45343,0,52.069206,0,0,95.95847,156.64075,0,0,0,0,0,0,42.259052,0,0,0,0,0,0,0,59.99539,0,2492579.5,2135370,2225949.8,2633025.5,1990888,2607208.2,2145513,2636820.2,2352653.8,2747242,3295263.8,3474941.2,2994954.2,2800022.8,2815758.2,3319799.8,3107892.8,3260104.5,2784440,2715684.5,2760397.2,2693364,3049029.2,2323238.8,1059784.4,1523733.6,1247237,1105355.5,1312427,1370618.4,1083294,1210520.8,963556.1,900854.3,866366.75,1015355.06,1442369.6,1360433.2,1315715.1,1142062.8,1215813.4,1320949
"X8808_150.596_4.822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13985.539,2072.857,1364.2114,1253.2732,6596.7725,3297.5806
"X4094_151.039_3.305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.25209,0,0,19.682175,0,0,0,0,0,16.045887,0,0,0,0,32.27134,0,0,0,0,24.084646,11994.25,14382.452,11464.943,20097.924,16938.297,17534.354,14913.523,27579.59,18463.504,22140.64,37808,35488.42,19041.059,15513.563,22859.652,31452.271,22022.854,6060.753,22717.262,25660.996,20124.492,26013.695,23139.672,23208.773,8228.722,17046.475,13343.875,13395.008,13087.835,13851.729,16671.133,19106.328,13201.847,12955.71,18610.682,5774.8384,18240.96,14023.813,13446.125,17954.543,18217.96,22974.564
"X2584_151.039_2.783",36.134975,17.66232,0,0,15.940716,19.650387,0,0,0,0,0,0,0,10.749745,29.205017,29.8143,0,0,0,97.048615,14.208349,8.797106,0,0,0,0,24.942394,22.3143,0,20.656221,0,18.443813,0,109.48512,45.01614,10.270117,36.462757,26.892628,38.58038,18.990797,0,30.62217,21188.936,26721.348,20601.002,30192.902,31430.074,26388.549,19642.354,28345.45,26896.477,40683.75,35868.945,33421.6,23333.043,30126.004,28730.402,31539.438,28040.465,30702.143,23228.973,23457.014,24553.133,32662.25,30002.33,29968.137,12411.189,27393.982,14832.032,22105.525,15795.103,26087.008,22207.186,25775.21,24133.291,17694.852,22098.752,22315.691,22034.436,23521.568,21772.814,24635.717,20636.242,22654.271
"X5788_151.075_3.796",32.806767,0,308.23676,616.0522,2447.5244,2509.1125,3567.6426,975.3107,821.51825,1250.8805,39.518333,588.95605,6729.161,2725.5916,1768.0383,2668.4897,3871.6963,6618.982,3674.6826,5097.639,3593.542,0,0,0,753.8376,1938.3303,47.00934,0,730.18884,0,805.932,437.2818,3384.9446,517.19714,0,2234.8276,764.8396,0,488.836,0,889.87695,0,1318.1875,1295.3885,2307.9548,1201.1926,2904.6987,1994.175,10427.205,18027.176,11767.998,17394.174,11391.851,18990.03,8363.571,3711.4722,5399.201,13905.803,3303.9907,10564.454,4720.455,3878.8364,5955.8765,9249.761,3399.6387,7554.1836,15416.69,20966.549,14812.078,16059.31,9832.281,12687.965,14171.489,11938.498,11755.282,9617.317,15605.134,8434.861,16707.125,14635.9795,17395.395,18458.53,13516.992,21439.904
"X5122_151.075_3.587",0,0,31.21204,0,0,0,0,0,0,17.069572,19.25359,15.743662,24.143856,0,0,0,77.50483,40.072914,0,0,0,0,0,0,0,9.649578,24.500134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7911.915,10747.851,6213.9204,7690.835,6599.7183,9204.11,19525.14,34598.094,27659.258,25951.156,30243.055,31429.477,19275.672,16462.9,26056.209,23766.738,14790.476,20994.145,24051.914,14653.16,18071.697,24126.748,21799.453,19399.52,15043.911,25147.78,16319.236,19353.887,14047.197,10893.263,17146.305,15126.69,15447.87,10175.541,15792.29,13162.513,19439.482,16783.209,17991.54,20361.857,16333.573,17985.172
"X598_151.075_1.534",0,0,0,15.91446,0,0,10.196079,0,10.430832,21.968994,11.778767,0,0,0,10.363476,0,21.348618,11.468349,0,14.038803,0,12.176339,0,0,19.92334,0,10.767186,0,0,0,0,0,0,0,0,0,7.88229,8.937214,0,0,0,0,31812.191,13530.526,2936.9749,7487.3086,33721.457,7580.1465,32265.705,76109,52930.98,12003.36,81828.164,85745.4,9988.576,10513.097,62846.727,35142.543,7090.774,63306.613,30764.979,55496.777,30282.053,64772.75,14685.334,49876.07,7093.1904,47778.465,31424.678,38090.953,14706.921,42342.086,13436.532,48418.39,7263.08,39167.12,47564.863,13991.499,56723.42,2887.657,4107.6133,57929.207,55112.2,31097.176
"X1334_151.075_2.335",14.550333,0,37.547142,44.600094,21.927462,0,0,0,0,12.334213,29.854816,14.73769,11.473076,11.312483,11.454168,28.154968,104.44122,31.66667,20.309563,84.09909,9.551134,11.1853485,24.364803,52.18043,0,0,11.85133,0,0,8.09951,11.225227,14.4105625,10.2831955,0,17.361813,10.572833,36.151703,12.591995,108.12924,0,14.825449,42.403896,36846.234,39556.01,36423.562,41043.3,40614.99,46243.367,64047.27,94011.63,74161.78,80734.305,94374.414,77959.51,62284.684,58845.902,62549.32,72479.195,73024.28,63799.715,54878.37,60540.156,61343.297,78671.77,60112.098,68243.516,46066.15,96203.6,59239.56,58696.03,55001.54,66860.22,54015.1,69221.92,54269.535,49898.07,60429.41,55155.566,71548.98,59005.58,55839.89,76608.54,65532.605,69950.45
"X649_151.075_1.623",0,0,0,11.752998,0,0,8.70871,0,0,21.238037,11.778767,9.275235,8.907824,0,0,0,15.18018,12.429897,10.83692,20.570583,0,12.176339,0,0,19.92334,0,0,0,0,0,0,0,0,0,0,0,7.88229,0,0,0,0,47.421787,4027.3704,2805.4128,4621.769,5108.6606,2074.6172,2533.843,5528.538,33426.72,17490.723,7254.4697,22212.951,35011.18,6493.191,8340.469,4696.4536,7982.4487,7446.3994,9970.382,15100.707,4943.37,7205.0117,11980.773,4559.224,6356.151,4023.8225,27905.518,3940.0435,20949.615,7845.2812,3142.1658,3069.7905,7896.1553,2138.473,4480.428,9889.944,6352.585,22350.094,2834.8516,4800.7793,9270.182,13025.226,14073.657
"X2884_151.075_2.864",56.376,33.01907,24.75143,36.064716,172.07106,71.28131,25.664616,163.29068,94.38586,199.38513,128.25859,263.28574,101.27318,159.62813,350.78888,160.19664,146.23462,213.26825,173.62247,82.88737,129.44983,115.35678,35.507374,13.269819,135.86688,181.67052,198.83774,177.2193,131.50084,137.46738,241.12196,361.1567,175.12682,243.17883,166.9168,201.41934,145.02087,387.89157,158.24113,184.69781,67.3839,74.61325,33808.918,16847.81,27014.281,20920.48,24750.209,18766.873,92744.48,63902.17,52742.1,89857.83,92997.72,108727.17,38256.78,69387.89,47918.883,62363.03,75615.28,50007.344,50678.17,81595.14,69451.695,48323.297,47910.953,58807.383,48443.414,79167.805,56056.18,81573.3,43708.266,83336.32,98987.414,65804.625,74487.73,62617.934,51633.082,55641.234,78191.94,83824.91,71871.08,90209.34,61500.09,69643.6
"X1001_151.075_2.135",14.736845,13.2714405,28.777088,144.12549,11.756111,23.52483,0,29.224464,17.825184,71.208534,11.355265,14.4556675,13.623186,13.024649,15.800201,10.403906,169.50964,40.868103,11.947496,20.974842,11.021046,63.882324,21.875359,13.079115,14.906883,0,37.552135,38.511436,0,32.397778,9.503424,11.914729,8.691104,21.852127,15.025188,9.813427,28.480194,44.78055,76.09648,36.282986,20.456505,11.558086,45510.277,49494.79,46885.754,52626.082,51811.37,53818.805,56857.383,73631.65,64224.926,68383.734,79083.4,69330.25,53711.258,51761.35,60716.516,70701.945,55761.61,62937.06,55045.574,55663.434,52188.36,67938.734,58008.973,56974.05,40971.645,66554.125,47627.62,48149.844,50067.027,57797.043,46229.043,53891.254,43997.242,43728.383,56071.465,49371.375,53709.34,47727.523,49903.465,59049.633,52573.473,54742.57
"X4286_151.075_3.347",25.574554,20.550776,135.08049,27.94802,52.852962,17.539906,27.63245,35.25197,28.95651,23.789076,232.97939,70.05849,13.846981,48.011906,29.318253,38.395718,444.2267,72.594574,9.286085,49.967987,21.833366,30.05804,151.88033,13.555639,11.036987,10.901953,154.23409,15.251593,10.023357,29.743519,14.679899,104.134705,10.042498,22.535091,32.462498,12.593544,43.966446,14.055849,40.910374,20.370083,124.17392,80.62955,11461.6,11829.139,8132.885,10709.718,12215.9375,9580.44,29348.908,41197.594,30335.82,42006.88,44407.72,36747.13,20678.982,28724.775,30098.578,26420.621,22806.064,22204.096,30664.23,23293.857,27829.988,33674.117,18387.053,24496.674,22159.354,42111.273,28315.434,41567.1,26231.617,35460.56,33316.426,25393.36,30228.66,17869.836,26451.322,22539.314,30871.377,31646.973,35156.96,36474.69,42279.527,36516.45
"X12087_151.097_6.245",419.40582,882.2135,364.29553,538.0392,207.9703,370.49472,898.53955,88.19445,496.9915,870.9433,107.09163,294.87595,919.94434,904.65247,557.72485,145.39304,1322.5974,590.56036,181.42685,483.4524,210.40598,379.05344,1082.7292,504.94806,459.69894,58.094593,708.7767,537.91345,249.51419,737.946,256.21298,920.33295,437.23035,637.9585,390.3112,203.00371,1639.2953,332.46045,1186.0333,368.70065,541.59467,1185.379,564.68695,821.70734,886.6592,1965.5338,1364.7728,1654.3853,31072.24,8551.455,20745.836,13857.739,28035.703,19136.986,23168.041,9614.483,3810.3613,4633.984,4622.217,3220.2075,19994.877,4893.1846,4981.311,5170.765,4430.207,2786.504,1103.1082,4077.4102,958.13574,4923.5,3160.3396,2832.419,3453.0393,12115.457,6006.88,9425.031,32904.55,13509.131,6213.272,3893.4805,3910.7192,4700.3335,8852.407,6014.425
"X11271_151.097_5.937",150.04224,509.6035,341.57288,443.40985,397.28522,321.53308,55.76361,209.20578,227.96086,618.10315,75.52346,39.898735,286.14905,352.76068,271.55304,289.00204,826.55444,366.46277,200.71425,47.315994,99.988754,94.27379,330.52094,438.34268,354.59613,411.83243,994.0418,66.71776,346.94446,168.50778,124.60214,269.02005,351.33398,100.202675,282.82935,99.737946,714.4921,801.83923,597.6992,245.1731,320.2932,628.39044,3588.035,5482.1763,4721.424,10547.945,8011.8438,7425.5615,50696.367,20618.586,33999.84,25835.547,38442.742,30789.59,47674.406,18296.525,10567.291,12278.329,9616.296,13739.236,35990.438,8825.419,10126.563,14593.291,3538.8135,5179.83,3904.2695,9433.426,5911.312,11654.876,6900.9326,8697.719,7223.4907,20070.355,9278.46,10311.193,41942.97,17781.88,34812.58,14973.605,14282.379,14543.738,24111.535,16487.902
