filename	ATTRIBUTE_Sample_Type	ATTRIBUTE_Subject	ATTRIBUTE_Timepoint_min	ATTRIBUTE_Sampling_Location
bld_plt1_01_0_1.mzXML	plasma	Subject_1	0	not applicable
bld_plt1_01_120_1.mzXML	plasma	Subject_1	120	not applicable
bld_plt1_01_600_1.mzXML	plasma	Subject_1	600	not applicable
bld_plt1_01_720_1.mzXML	plasma	Subject_1	720	not applicable
bld_plt1_03_0_1.mzXML	plasma	Subject_3	0	not applicable
bld_plt1_03_480_1.mzXML	plasma	Subject_3	480	not applicable
bld_plt1_03_600_1.mzXML	plasma	Subject_3	600	not applicable
bld_plt1_04_240_1.mzXML	plasma	Subject_4	240	not applicable
bld_plt1_04_480_1.mzXML	plasma	Subject_4	480	not applicable
bld_plt1_04_600_1.mzXML	plasma	Subject_4	600	not applicable
bld_plt1_05_240_1.mzXML	plasma	Subject_5	240	not applicable
bld_plt1_05_480_1.mzXML	plasma	Subject_5	480	not applicable
bld_plt1_05_600_1.mzXML	plasma	Subject_5	600	not applicable
bld_plt1_07_120_1.mzXML	plasma	Subject_7	120	not applicable
bld_plt1_07_240_1.mzXML	plasma	Subject_7	240	not applicable
bld_plt1_07_600_1.mzXML	plasma	Subject_7	600	not applicable
bld_plt1_08_240_1.mzXML	plasma	Subject_8	240	not applicable
bld_plt1_08_600_1.mzXML	plasma	Subject_8	600	not applicable
bld_plt1_08_720_1.mzXML	plasma	Subject_8	720	not applicable
bld_plt1_10_0_1.mzML	plasma	Subject_10	0	not applicable
bld_plt1_10_120_1.mzML	plasma	Subject_10	120	not applicable
bld_plt1_10_600_1.mzML	plasma	Subject_10	600	not applicable
bld_plt1_blk_02.mzML	plasma_blank	not applicable	not applicable	not applicable
bld_plt2_01_240_1.mzXML	plasma	Subject_1	240	not applicable
bld_plt2_01_480_1.mzXML	plasma	Subject_1	480	not applicable
bld_plt2_03_120_1.mzXML	plasma	Subject_3	120	not applicable
bld_plt2_03_240_1.mzXML	plasma	Subject_3	240	not applicable
bld_plt2_03_720_1.mzXML	plasma	Subject_3	720	not applicable
bld_plt2_04_0_1.mzXML	plasma	Subject_4	0	not applicable
bld_plt2_04_120_1.mzXML	plasma	Subject_4	120	not applicable
bld_plt2_04_720_1.mzXML	plasma	Subject_4	720	not applicable
bld_plt2_05_0_1.mzXML	plasma	Subject_5	0	not applicable
bld_plt2_05_120_1.mzXML	plasma	Subject_5	120	not applicable
bld_plt2_05_720_1.mzXML	plasma	Subject_5	720	not applicable
bld_plt2_07_0_1.mzXML	plasma	Subject_7	0	not applicable
bld_plt2_07_480_1.mzXML	plasma	Subject_7	480	not applicable
bld_plt2_07_720_1.mzXML	plasma	Subject_7	720	not applicable
bld_plt2_08_0_1.mzXML	plasma	Subject_8	0	not applicable
bld_plt2_08_120_1.mzXML	plasma	Subject_8	120	not applicable
bld_plt2_08_480_1.mzXML	plasma	Subject_8	480	not applicable
bld_plt2_10_240_1.mzML	plasma	Subject_10	240	not applicable
bld_plt2_10_480_1.mzXML	plasma	Subject_10	480	not applicable
bld_plt2_10_720_1.mzML	plasma	Subject_10	720	not applicable
bld_plt2_blk_04.mzML	plasma_blank	not applicable	not applicable	not applicable
skin_01_0_FH.mzML	skin	Subject_1	0	forehead
skin_01_0_OF.mzML	skin	Subject_1	0	forearm
skin_01_0_UB.mzML	skin	Subject_1	0	upper back
skin_01_120_FH.mzML	skin	Subject_1	120	forehead
skin_01_120_OF.mzML	skin	Subject_1	120	forearm
skin_01_120_UB.mzML	skin	Subject_1	120	upper back
skin_01_240_FH.mzML	skin	Subject_1	240	forehead
skin_01_240_OF.mzML	skin	Subject_1	240	forearm
skin_01_240_UB.mzML	skin	Subject_1	240	upper back
skin_01_480_FH.mzML	skin	Subject_1	480	forehead
skin_01_480_OF.mzML	skin	Subject_1	480	forearm
skin_01_480_UB.mzML	skin	Subject_1	480	upper back
skin_01_600_FH.mzML	skin	Subject_1	600	forehead
skin_01_600_OF.mzML	skin	Subject_1	600	forearm
skin_01_600_UB.mzML	skin	Subject_1	600	upper back
skin_01_720_FH.mzML	skin	Subject_1	720	forehead
skin_01_720_OF.mzML	skin	Subject_1	720	forearm
skin_01_720_UB.mzML	skin	Subject_1	720	upper back
skin_03_0_FH.mzML	skin	Subject_3	0	forehead
skin_03_0_OF.mzML	skin	Subject_3	0	forearm
skin_03_0_UB.mzML	skin	Subject_3	0	upper back
