query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.4090,443.8251,150.5959,594.4210,RZQNQMRSGMXXMH,"5-[5-(3,5-dihydroxydecanoyloxy)-3-hydroxydecanoyl]oxy-3-hydroxydecanoic acid",CCCCCC(O)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OC(CCCCC)CC(O)CC(O)=O,289.3040,8808,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Fatty acid estolides,Fatty esters,Fatty acids
2,0.6290,0.0000,151.0390,151.0390,MRIXVKKOHPQOFK,4-Methoxysalicylic acid,COc1ccc(C(=O)O)c(O)c1,198.3170,4094,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,P-methoxybenzoic acids and derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
3,0.6290,0.0001,151.0391,151.0390,MRIXVKKOHPQOFK,4-Methoxysalicylic acid,COc1ccc(C(=O)O)c(O)c1,166.9920,2584,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,P-methoxybenzoic acids and derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
4,0.6241,0.0004,151.0754,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,227.7320,5788,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
5,0.6253,0.0004,151.0754,151.0750,XHUBSJRBOQIZNI,Homovanillyl alcohol,COc1cc(CCO)ccc1O,215.2240,5122,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Phenylethanoids,Phenylethanoids (C6-C2),Shikimates and Phenylpropanoids
6,0.6241,0.0004,151.0754,151.0750,XMIIGOLPHOKFCH,PhenylPropionicAcid,C1=CC=C(C=C1)CCC(=O)O,92.0350,598,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Phenylpropanoic acids,,,Shikimates and Phenylpropanoids
7,0.6241,0.0004,151.0754,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,140.1190,1334,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
8,0.6241,0.0004,151.0754,151.0750,XMIIGOLPHOKFCH,PhenylPropionicAcid,C1=CC=C(C=C1)CCC(=O)O,97.4000,649,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Phenylpropanoic acids,,,Shikimates and Phenylpropanoids
9,0.6890,0.0005,151.0755,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,171.8270,2884,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
10,0.6241,0.0005,151.0755,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,128.1100,1001,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
11,0.6241,0.0005,151.0755,151.0750,XMIIGOLPHOKFCH,Hydrocinnamic acid,C1=CC=C(C=C1)CCC(=O)O,200.8420,4286,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Phenylpropanoic acids,,,Shikimates and Phenylpropanoids
