query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.6290,0.0000,151.0390,151.0390,MRIXVKKOHPQOFK,4-Methoxysalicylic acid,COc1ccc(C(=O)O)c(O)c1,198.2290,4203,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,P-methoxybenzoic acids and derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
2,0.6301,0.0001,151.0391,151.0390,WKOLLVMJNQIZCI,Vanillic acid,COc1cc(C(=O)O)ccc1O,167.0640,2560,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,M-methoxybenzoic acids and derivatives,Cinnamic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1); Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
3,0.6241,0.0004,151.0754,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,227.4880,5933,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
4,0.6878,0.0004,151.0754,151.0750,XHUBSJRBOQIZNI,Homovanillyl alcohol,COc1cc(CCO)ccc1O,91.4130,560,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Phenylethanoids,Phenylethanoids (C6-C2),Shikimates and Phenylpropanoids
5,0.6241,0.0004,151.0754,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,140.1700,1276,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
6,0.6241,0.0005,151.0755,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,171.8340,2856,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
7,0.6377,0.0005,151.0755,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,128.0850,919,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
8,0.6247,0.0005,151.0755,151.0750,XHUBSJRBOQIZNI,Homovanillyl alcohol,COc1cc(CCO)ccc1O,200.8460,4391,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Phenylethanoids,Phenylethanoids (C6-C2),Shikimates and Phenylpropanoids
9,0.7705,0.0002,151.1118,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,249.5350,7017,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
10,0.7804,0.0002,151.1118,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,213.9470,5143,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
