id,compound_name,adduct,score,precursor_mz,ion_mobility,ccs,rt,mol_formula,smiles,inchi,inchi_key,method
91,gamma-Glutamylmethionine,[M+H]+,0.781,279.0994,,,8.074367,C10H18N2O5S,O=C(O)C(N=C(O)CCC(N)C(=O)O)CCSC,"InChI=1S/C10H18N2O5S/c1-18-5-4-7(10(16)17)12-8(13)3-2-6(11)9(14)15/h6-7H,2-5,11H2,1H3,(H,12,13)(H,14,15)(H,16,17)/t6-,7-/m0/s1",RQNSKRXMANOPQY-BQBZGAKWSA-N,spectral_library_annotation
91,gamma-Glutamylmethionine,[M+H]+,0.756,279.1007,,,8.428166,C10H18N2O5S,O=C(O)C(N=C(O)CCC(N)C(=O)O)CCSC,"InChI=1S/C10H18N2O5S/c1-18-5-4-7(10(16)17)12-8(13)3-2-6(11)9(14)15/h6-7H,2-5,11H2,1H3,(H,12,13)(H,14,15)(H,16,17)/t6-,7-/m0/s1",RQNSKRXMANOPQY-BQBZGAKWSA-N,spectral_library_annotation
97,L-Phenylalanine,[M+H]+,0.980,166.08626,,,,C9H11NO2,O=C(O)C(N)CC=1C=CC=CC1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
97,PHENYLALANINE,[M+H]+,0.977,166.0862546,,,,C9H11NO2,O=C(O)C(N)CC=1C=CC=CC1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
97,PHENYLALANINE,[M+H]+,0.977,166.0862546,,,,C9H11NO2,O=C(O)C(N)CC=1C=CC=CC1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
97,PHENYLALANINE,[M+H]+,0.977,166.0862546,,,,C9H11NO2,O=C(O)C(N)CC=1C=CC=CC1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
97,PHENYLALANINE,[M+H]+,0.977,166.0862546,,,,C9H11NO2,O=C(O)C(N)CC=1C=CC=CC1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
97,L-Phenylalanine,[M+H]+,0.977,166.08626,,,,C9H11NO2,O=C(O)C(N)CC=1C=CC=CC1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
97,L-Phenylalanine,[M+H]+,0.976,166.08626,,,,C9H11NO2,O=C(O)C(N)CC=1C=CC=CC1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
97,PHENYLALANINE,[M+H]+,0.976,166.0862546,,,,C9H11NO2,O=C(O)C(N)CC=1C=CC=CC1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
97,PHENYLALANINE,[M+H]+,0.976,166.0862546,,,,C9H11NO2,O=C(O)C(N)CC=1C=CC=CC1,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
97,L-PHENYLALANINE,[M+H]+,0.969,166.086045751559,,,3.1743863,C9H11NO2,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,spectral_library_annotation
118,Serylleucine,[M+H]+,0.797,219.1346,,,2.38,C9H18N2O4,O=C(O)C(NC(=O)C(N)CO)CC(C)C,"InChI=1S/C9H18N2O4/c1-5(2)3-7(9(14)15)11-8(13)6(10)4-12/h5-7,12H,3-4,10H2,1-2H3,(H,11,13)(H,14,15)",NFDYGNFETJVMSE-UHFFFAOYSA-N,spectral_library_annotation
136,KYNURENINE,[M+H]+,0.967,209.09,,,,C10H12N2O3,C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)",YGPSJZOEDVAXAB-UHFFFAOYSA-N,spectral_library_annotation
136,KYNURENINE,[M+H]+,0.967,209.091747013187,,,2.899794,C10H12N2O3,C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)",YGPSJZOEDVAXAB-UHFFFAOYSA-N,spectral_library_annotation
136,L-KYNURENINE,[M+H]+,0.967,209.091981741787,,,2.8491406,C10H12N2O3,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1",YGPSJZOEDVAXAB-QMMMGPOBSA-N,spectral_library_annotation
136,Kynurenine,[M+H]+,0.966,209.0918,,,6.867717,C10H12N2O3,O=C(O)C(N)CC(=O)C=1C=CC=CC1N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1",YGPSJZOEDVAXAB-QMMMGPOBSA-N,spectral_library_annotation
136,L-KYNURENINE,[M+H]+,0.964,209.09,,,,C10H12N2O3,C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)",YGPSJZOEDVAXAB-UHFFFAOYSA-N,spectral_library_annotation
136,KYNURENINE,[M+H]+,0.957,209.0920683,,,,C10H12N2O3,O=C(O)C(N)CC(=O)C=1C=CC=CC1N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)",YGPSJZOEDVAXAB-UHFFFAOYSA-N,spectral_library_annotation
136,KYNURENINE,[M+H]+,0.941,209.0920683,,,,C10H12N2O3,O=C(O)C(N)CC(=O)C=1C=CC=CC1N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)",YGPSJZOEDVAXAB-UHFFFAOYSA-N,spectral_library_annotation
136,KYNURENINE,[M+H]+,0.936,209.0920683,,,,C10H12N2O3,O=C(O)C(N)CC(=O)C=1C=CC=CC1N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)",YGPSJZOEDVAXAB-UHFFFAOYSA-N,spectral_library_annotation
136,L-kynurenine,[M+H]+,0.934,209.0921,,,0.7435,C10H12N2O3,O=C(O)C(N)CC(=O)C=1C=CC=CC1N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1",YGPSJZOEDVAXAB-QMMMGPOBSA-N,spectral_library_annotation
136,Kynurenine,[M+H]+,0.933,209.09207153320307,,,,C10H12N2O3,O=C(O)C(N)CC(=O)C=1C=CC=CC1N,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)",YGPSJZOEDVAXAB-UHFFFAOYSA-N,spectral_library_annotation
171,Pantothenol; LC-tDDA; CE10,[M+H]+,0.889,206.138687133789,,,2.19,C9H19NO4,OC(=NCCCO)C(O)C(C)(C)CO,"InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)/t7-/m0/s1",SNPLKNRPJHDVJA-ZETCQYMHSA-N,spectral_library_annotation
171,Pantothenol; AIF; CE10; MS2Dec,[M+H]+,0.811,206.138687133789,,,2.09681,C9H19NO4,OC(=NCCCO)C(O)C(C)(C)CO,"InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)/t7-/m0/s1",SNPLKNRPJHDVJA-ZETCQYMHSA-N,spectral_library_annotation
171,Panthenol,[M+H]+,0.798,206.1395,,,1.901583,C9H19NO4,OC(=NCCCO)C(O)C(C)(C)CO,"InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)/t7-/m0/s1",SNPLKNRPJHDVJA-ZETCQYMHSA-N,spectral_library_annotation
171,Pantothenol; LC-tDDA; CE20,[M+H]+,0.795,206.138687133789,,,2.2,C9H19NO4,OC(=NCCCO)C(O)C(C)(C)CO,"InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)/t7-/m0/s1",SNPLKNRPJHDVJA-ZETCQYMHSA-N,spectral_library_annotation
174,Gly-Ile,[M+H]+,0.918,189.1235,,,7.667517,C8H16N2O3,O=C(O)C(N=C(O)CN)C(C)CC,"InChI=1S/C8H16N2O3/c1-3-5(2)7(8(12)13)10-6(11)4-9/h5,7H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)",KGVHCTWYMPWEGN-UHFFFAOYSA-N,spectral_library_annotation
