ID1,ID2,EdgeType,Score,Annotation
43,57,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9743
49,57,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
50,55,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
53,106,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
106,110,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9741
128,136,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
136,138,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
155,157,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9822
221,241,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9934
332,344,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0267
344,350,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
402,404,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
443,444,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
448,457,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
448,449,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
452,461,MS1 annotation,2.000,[2M+2H]+2 [M-H2O+NH4]+ dm/z=0.9833
457,462,MS1 annotation,3.000,[2M+H]+ [M+Na]+ dm/z=182.1078
569,600,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
569,601,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0371
569,571,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
692,698,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9919
692,698,MS1 annotation,3.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9919
696,698,MS1 annotation,3.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0027
712,716,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
914,922,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9933
940,946,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0372
940,941,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
960,964,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
974,975,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0371
978,988,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
979,1040,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9554
1029,1040,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9819
