row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,bld_plt2_blk_04.mzML Peak area,skin_07_0_UB.mzML Peak area,skin_01_120_UB.mzML Peak area,skin_07_600_UB.mzML Peak area,skin_10_240_UB.mzML Peak area,skin_07_240_UB.mzML Peak area,skin_10_480_UB.mzML Peak area,skin_10_0_UB.mzML Peak area,skin_05_720_UB.mzML Peak area,skin_07_480_UB.mzML Peak area,skin_10_120_UB.mzML Peak area,skin_10_600_UB.mzML Peak area,skin_07_720_UB.mzML Peak area,bld_plt2_10_480_1.mzML Peak area,skin_05_600_UB.mzML Peak area,bld_plt2_03_240_1.mzML Peak area,bld_plt2_04_120_1.mzML Peak area,skin_05_480_UB.mzML Peak area,bld_plt2_07_480_1.mzML Peak area,skin_05_240_UB.mzML Peak area,bld_plt1_10_120_1.mzML Peak area,skin_01_0_UB.mzML Peak area,skin_01_240_UB.mzML Peak area,skin_01_600_UB.mzML Peak area,bld_plt1_blk_02.mzML Peak area,skin_05_120_UB.mzML Peak area,bld_plt2_07_720_1.mzML Peak area,bld_plt1_08_600_1.mzML Peak area,bld_plt2_10_240_1.mzML Peak area,bld_plt2_08_480_1.mzML Peak area,bld_plt2_08_120_1.mzML Peak area,bld_plt2_03_720_1.mzML Peak area,skin_03_480_UB.mzML Peak area,bld_plt1_10_0_1.mzML Peak area,skin_07_120_UB.mzML Peak area,skin_01_480_UB.mzML Peak area,skin_04_600_UB.mzML Peak area,skin_05_0_UB.mzML Peak area,skin_04_0_UB.mzML Peak area,bld_plt2_05_720_1.mzML Peak area,bld_plt2_04_0_1.mzML Peak area,bld_plt1_08_720_1.mzML Peak area,bld_plt2_07_0_1.mzML Peak area,bld_plt1_07_240_1.mzML Peak area,bld_plt1_07_120_1.mzML Peak area,bld_plt1_04_600_1.mzML Peak area,bld_plt2_05_0_1.mzML Peak area,bld_plt1_08_240_1.mzML Peak area,bld_plt1_04_240_1.mzML Peak area,skin_01_720_UB.mzML Peak area,skin_04_720_UB.mzML Peak area,skin_04_480_UB.mzML Peak area,skin_04_240_UB.mzML Peak area,skin_04_120_UB.mzML Peak area,skin_03_600_UB.mzML Peak area,skin_blank_03.mzML Peak area,bld_plt1_03_600_1.mzML Peak area,bld_plt1_03_0_1.mzML Peak area,bld_plt1_03_480_1.mzML Peak area,bld_plt1_07_600_1.mzML Peak area,bld_plt2_03_120_1.mzML Peak area,bld_plt1_04_480_1.mzML Peak area,bld_plt1_01_0_1.mzML Peak area,bld_plt2_01_480_1.mzML Peak area,bld_plt1_10_600_1.mzML Peak area,bld_plt2_05_120_1.mzML Peak area,bld_plt2_04_720_1.mzML Peak area,bld_plt1_05_480_1.mzML Peak area,bld_plt2_10_720_1.mzML Peak area,bld_plt2_08_0_1.mzML Peak area,skin_03_720_UB.mzML Peak area,skin_blank_20.mzML Peak area,bld_plt1_01_600_1.mzML Peak area,bld_plt1_01_120_1.mzML Peak area,bld_plt1_01_720_1.mzML Peak area,bld_plt1_05_240_1.mzML Peak area,bld_plt1_05_600_1.mzML Peak area,bld_plt2_01_240_1.mzML Peak area,skin_08_240_UB.mzML Peak area,skin_08_480_UB.mzML Peak area,skin_08_0_UB.mzML Peak area,skin_08_720_UB.mzML Peak area,skin_10_720_UB.mzML Peak area,skin_08_120_UB.mzML Peak area,skin_03_120_UB.mzML Peak area,skin_03_240_UB.mzML Peak area,skin_03_0_UB.mzML Peak area,skin_08_600_UB.mzML Peak area,
9002,150.06294522430963,4.962805,,,,20,144,[M+H]+,,2,9002;9013,149.05562,260.57776,1059784.4,2135370.0,1312427.0,1315715.1,1247237.0,1142062.8,1442369.6,2323238.8,1105355.5,1360433.2,1215813.4,1370618.4,59.99539,3049029.2,156.64075,0,2693364.0,0,2760397.2,0,2492579.5,2225949.8,1990888.0,130.08562,2715684.5,0,0,0,0,0,0,2747242.0,428.45343,1523733.6,2633025.5,3107892.8,2784440.0,2994954.2,42.259052,0,51.15745,0,88.203415,276.11902,496.61798,0,962.82654,0,2607208.2,3260104.5,3319799.8,2815758.2,2800022.8,3295263.8,178.20256,111.4226,0,0,345.31912,95.95847,0,0,0,52.069206,0,0,0,0,0,3474941.2,779.64355,185.35068,0,57.32955,0,0,0,963556.1,900854.3,1083294.0,1015355.06,1320949.0,1210520.8,2636820.2,2352653.8,2145513.0,866366.75,
8808,150.59587725288654,4.821733,,,,,,,,,,,0,0,0,0,1364.2114,0,1253.2732,13985.539,0,0,2072.857,6596.7725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3297.5806,0,0,0,0,0,
4094,151.03904087205964,3.3052845,,,,0,,,,,,,0,8228.722,14382.452,13087.835,13446.125,13343.875,17954.543,18240.96,23208.773,13395.008,14023.813,18217.96,13851.729,0,23139.672,19.682175,0,26013.695,0,20124.492,0,11994.25,11464.943,16938.297,0,25660.996,0,0,0,0,0,0,22140.64,0,17046.475,20097.924,22022.854,22717.262,19041.059,0,0,0,0,0,0,0,0,0,0,17534.354,6060.753,31452.271,22859.652,15513.563,37808.0,0,0,0,0,0,0,0,0,0,0,16.045887,0,0,24.084646,32.27134,35488.42,0,0,0,0,0,0,18.25209,13201.847,12955.71,16671.133,5774.8384,22974.564,19106.328,27579.59,18463.504,14913.523,18610.682,
2584,151.03906108579346,2.7832077,,,,76,,,,,,,0,12411.189,26721.348,15795.103,21772.814,14832.032,24635.717,22034.436,29968.137,22105.525,23521.568,20636.242,26087.008,0,30002.33,0,0,32662.25,45.01614,24553.133,14.208349,21188.936,20601.002,31430.074,0,23457.014,10.270117,0,18.990797,38.58038,26.892628,24.942394,40683.75,97.048615,27393.982,30192.902,28040.465,23228.973,23333.043,0,22.3143,0,109.48512,29.205017,10.749745,0,0,0,0,26388.549,30702.143,31539.438,28730.402,30126.004,35868.945,0,0,15.940716,19.650387,29.8143,0,0,36.134975,0,8.797106,18.443813,20.656221,0,30.62217,36.462757,33421.6,0,0,17.66232,0,0,0,0,24133.291,17694.852,22207.186,22315.691,22654.271,25775.21,28345.45,26896.477,19642.354,22098.752,
5788,151.07537326984794,3.7955263,,,,,,,,,,,14.4501705,15416.69,1295.3885,9832.281,17395.395,14812.078,18458.53,16707.125,7554.1836,16059.31,14635.9795,13516.992,12687.965,889.87695,3399.6387,1938.3303,730.18884,9249.761,0,5955.8765,3593.542,1318.1875,2307.9548,2904.6987,0,3878.8364,2234.8276,6618.982,0,488.836,0,47.00934,17394.174,5097.639,20966.549,1201.1926,3303.9907,4720.455,8363.571,3384.9446,0,3674.6826,517.19714,1768.0383,2725.5916,1250.8805,805.932,3871.6963,975.3107,1994.175,10564.454,13905.803,5399.201,3711.4722,11391.851,13.86219,3567.6426,2447.5244,2509.1125,2668.4897,753.8376,821.51825,32.806767,0,0,437.2818,0,588.95605,0,764.8396,18990.03,60.238976,308.23676,0,616.0522,39.518333,6729.161,0,11755.282,9617.317,14171.489,8434.861,21439.904,11938.498,18027.176,11767.998,10427.205,15605.134,
5122,151.07543830515024,3.5870636,,,,,,,,,,,0,15043.911,10747.851,14047.197,17991.54,16319.236,20361.857,19439.482,19399.52,19353.887,16783.209,16333.573,10893.263,0,21799.453,9.649578,0,24126.748,0,18071.697,0,7911.915,6213.9204,6599.7183,0,14653.16,0,40.072914,0,0,0,24.500134,25951.156,0,25147.78,7690.835,14790.476,24051.914,19275.672,0,0,0,0,0,0,17.069572,0,77.50483,0,9204.11,20994.145,23766.738,26056.209,16462.9,30243.055,15.021414,0,0,0,0,0,0,0,0,0,0,0,15.743662,0,0,31429.477,15.130593,31.21204,0,0,19.25359,24.143856,0,15447.87,10175.541,17146.305,13162.513,17985.172,15126.69,34598.094,27659.258,19525.14,15792.29,
598,151.07544296377108,1.5339242,,,,115,,,,,,,0,7093.1904,13530.526,14706.921,4107.6133,31424.678,57929.207,56723.42,49876.07,38090.953,2887.657,55112.2,42342.086,0,14685.334,0,0,64772.75,0,30282.053,0,31812.191,2936.9749,33721.457,0,55496.777,0,11.468349,0,0,8.937214,10.767186,12003.36,14.038803,47778.465,7487.3086,7090.774,30764.979,9988.576,0,0,0,0,10.363476,0,21.968994,0,21.348618,0,7580.1465,63306.613,35142.543,62846.727,10513.097,81828.164,25.122658,10.196079,0,0,0,19.92334,10.430832,0,0,12.176339,0,0,0,0,7.88229,85745.4,64.37107,0,0,15.91446,11.778767,0,0,7263.08,39167.12,13436.532,13991.499,31097.176,48418.39,76109.0,52930.98,32265.705,47564.863,
1334,151.07544372086937,2.3353179,,,,295,32,[M-2H2O+H]+,,2,1338;1334,186.08934,0,46066.15,39556.01,55001.54,55839.89,59239.56,76608.54,71548.98,68243.516,58696.03,59005.58,65532.605,66860.22,14.825449,60112.098,0,0,78671.77,17.361813,61343.297,9.551134,36846.234,36423.562,40614.99,0,60540.156,10.572833,31.66667,0,108.12924,12.591995,11.85133,80734.305,84.09909,96203.6,41043.3,73024.28,54878.37,62284.684,10.2831955,0,20.309563,0,11.454168,11.312483,12.334213,11.225227,104.44122,0,46243.367,63799.715,72479.195,62549.32,58845.902,94374.414,26.393463,0,21.927462,0,28.154968,0,0,14.550333,52.18043,11.1853485,14.4105625,8.09951,14.73769,42.403896,36.151703,77959.51,163.246,37.547142,0,44.600094,29.854816,11.473076,24.364803,54269.535,49898.07,54015.1,55155.566,69950.45,69221.92,94011.63,74161.78,64047.27,60429.41,
649,151.0754480916513,1.6233355,,,,,,,,,,,0,4023.8225,2805.4128,7845.2812,4800.7793,3940.0435,9270.182,22350.094,6356.151,20949.615,2834.8516,13025.226,3142.1658,0,4559.224,0,0,11980.773,0,7205.0117,0,4027.3704,4621.769,2074.6172,0,4943.37,0,12.429897,0,0,0,0,7254.4697,20.570583,27905.518,5108.6606,7446.3994,15100.707,6493.191,0,0,10.83692,0,0,0,21.238037,0,15.18018,0,2533.843,9970.382,7982.4487,4696.4536,8340.469,22212.951,14.23593,8.70871,0,0,0,19.92334,0,0,0,12.176339,0,0,9.275235,47.421787,7.88229,35011.18,47.86824,0,0,11.752998,11.778767,8.907824,0,2138.473,4480.428,3069.7905,6352.585,14073.657,7896.1553,33426.72,17490.723,5528.538,9889.944,
2884,151.07545690285642,2.863785,,,,216,,,,,,,10.079514,48443.414,16847.81,43708.266,71871.08,56056.18,90209.34,78191.94,58807.383,81573.3,83824.91,61500.09,83336.32,67.3839,47910.953,181.67052,131.50084,48323.297,166.9168,69451.695,129.44983,33808.918,27014.281,24750.209,0,81595.14,201.41934,213.26825,184.69781,158.24113,387.89157,198.83774,89857.83,82.88737,79167.805,20920.48,75615.28,50678.17,38256.78,175.12682,177.2193,173.62247,243.17883,350.78888,159.62813,199.38513,241.12196,146.23462,163.29068,18766.873,50007.344,62363.03,47918.883,69387.89,92997.72,43.221962,25.664616,172.07106,71.28131,160.19664,135.86688,94.38586,56.376,13.269819,115.35678,361.1567,137.46738,263.28574,74.61325,145.02087,108727.17,145.82538,24.75143,33.01907,36.064716,128.25859,101.27318,35.507374,74487.73,62617.934,98987.414,55641.234,69643.6,65804.625,63902.17,52742.1,92744.48,51633.082,
