row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,bld_plt2_05_720_1.mzML Peak area,bld_plt1_blk_02.mzML Peak area,bld_plt1_08_720_1.mzML Peak area,bld_plt1_03_600_1.mzML Peak area,bld_plt2_03_240_1.mzML Peak area,bld_plt1_07_600_1.mzML Peak area,bld_plt1_03_0_1.mzML Peak area,bld_plt1_03_480_1.mzML Peak area,bld_plt1_07_120_1.mzML Peak area,bld_plt1_07_240_1.mzML Peak area,bld_plt1_10_120_1.mzML Peak area,bld_plt1_04_600_1.mzML Peak area,bld_plt1_08_240_1.mzML Peak area,bld_plt1_04_240_1.mzML Peak area,bld_plt1_08_600_1.mzML Peak area,bld_plt1_04_480_1.mzML Peak area,skin_01_0_FH.mzML Peak area,bld_plt2_blk_04.mzML Peak area,bld_plt2_10_480_1.mzML Peak area,bld_plt2_04_120_1.mzML Peak area,bld_plt2_04_0_1.mzML Peak area,bld_plt2_07_0_1.mzML Peak area,bld_plt2_01_480_1.mzML Peak area,bld_plt2_07_720_1.mzML Peak area,bld_plt2_07_480_1.mzML Peak area,bld_plt2_05_0_1.mzML Peak area,bld_plt2_03_120_1.mzML Peak area,bld_plt1_10_600_1.mzML Peak area,bld_plt1_05_240_1.mzML Peak area,bld_plt1_05_600_1.mzML Peak area,bld_plt1_10_0_1.mzML Peak area,bld_plt2_05_120_1.mzML Peak area,bld_plt2_10_240_1.mzML Peak area,bld_plt2_08_480_1.mzML Peak area,bld_plt2_03_720_1.mzML Peak area,bld_plt1_05_480_1.mzML Peak area,bld_plt2_04_720_1.mzML Peak area,bld_plt2_08_120_1.mzML Peak area,bld_plt2_01_240_1.mzML Peak area,skin_07_120_FH.mzML Peak area,skin_07_0_FH.mzML Peak area,skin_01_240_FH.mzML Peak area,skin_05_720_FH.mzML Peak area,skin_01_120_FH.mzML Peak area,skin_04_0_FH.mzML Peak area,skin_blank_03.mzML Peak area,skin_01_720_FH.mzML Peak area,skin_blank_20.mzML Peak area,skin_01_480_FH.mzML Peak area,bld_plt2_10_720_1.mzML Peak area,bld_plt2_08_0_1.mzML Peak area,skin_01_600_FH.mzML Peak area,skin_05_240_FH.mzML Peak area,skin_04_120_FH.mzML Peak area,skin_04_240_FH.mzML Peak area,skin_05_120_FH.mzML Peak area,skin_03_120_FH.mzML Peak area,skin_03_240_FH.mzML Peak area,skin_03_600_FH.mzML Peak area,bld_plt1_01_0_1.mzML Peak area,skin_03_480_FH.mzML Peak area,skin_03_0_FH.mzML Peak area,skin_07_480_FH.mzML Peak area,skin_07_600_FH.mzML Peak area,skin_07_720_FH.mzML Peak area,skin_08_480_FH.mzML Peak area,skin_08_720_FH.mzML Peak area,skin_08_240_FH.mzML Peak area,skin_03_720_FH.mzML Peak area,skin_04_720_FH.mzML Peak area,skin_04_480_FH.mzML Peak area,bld_plt1_01_120_1.mzML Peak area,bld_plt1_01_600_1.mzML Peak area,bld_plt1_01_720_1.mzML Peak area,skin_10_240_FH.mzML Peak area,skin_10_600_FH.mzML Peak area,skin_08_120_FH.mzML Peak area,skin_10_720_FH.mzML Peak area,skin_08_0_FH.mzML Peak area,skin_10_120_FH.mzML Peak area,skin_07_240_FH.mzML Peak area,skin_05_600_FH.mzML Peak area,skin_10_0_FH.mzML Peak area,skin_05_480_FH.mzML Peak area,skin_05_0_FH.mzML Peak area,skin_04_600_FH.mzML Peak area,skin_10_480_FH.mzML Peak area,skin_08_600_FH.mzML Peak area,
9309,150.0629438512641,4.9620457,,,,84,139,[M+H]+,,2,9312;9309,149.05562,42.259052,130.08562,51.15745,111.4226,156.64075,345.31912,0,0,276.11902,88.203415,0,496.61798,962.82654,0,0,0,150.12009,260.57776,59.99539,0,0,0,0,0,0,0,95.95847,52.069206,0,0,428.45343,0,0,0,0,0,0,0,0,915477.06,878542.0,2166415.5,2350212.8,2244137.0,2771097.8,178.20256,2190778.2,779.64355,2306579.5,0,0,2223507.5,2222284.8,3265370.8,2765996.5,2546182.2,2768777.2,2306443.0,3542555.2,0,3544096.0,2652389.5,1044199.1,1136611.0,1139662.5,1079395.9,833080.8,1038383.2,2940925.8,3343539.2,3465421.5,0,185.35068,57.32955,1430473.0,1284011.8,907086.5,1041058.7,816612.25,1317996.1,1479229.8,2881786.5,1219925.2,2350849.2,2673931.2,4026474.8,1238181.9,792032.3,
4203,151.03904527120193,3.3038142,,,,82,,,,,,,0,0,0,0,19.682175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.045887,0,0,0,0,0,0,18.25209,7706.0513,4771.0234,11865.485,15601.481,14864.08,11199.636,0,12399.753,0,14087.629,24.084646,32.27134,13596.942,23748.55,20752.832,21325.773,18189.518,21734.508,24074.195,25724.787,0,28170.674,19209.209,13023.105,11374.337,10439.678,13100.217,14159.276,14039.659,24205.29,26098.62,40089.273,0,0,0,14674.535,17312.146,13312.279,15344.479,11167.246,18674.574,17603.297,7848.89,10867.972,22284.549,22936.25,25158.443,19556.707,16856.578,
2560,151.03907045300986,2.784397,,,,41,,,,,,,0,0,0,0,0,29.8143,15.940716,19.650387,10.749745,29.205017,14.208349,0,0,0,0,0,0,0,0,0,22.3143,109.48512,0,10.270117,45.01614,0,0,8.797106,0,0,97.048615,18.443813,18.990797,38.58038,24.942394,0,20.656221,26.892628,0,11723.199,9673.693,19942.227,25895.195,26016.658,19144.557,0,25194.543,0,22420.555,30.62217,36.462757,21424.62,23922.312,24323.398,23662.451,26910.73,30795.973,31799.113,38910.01,36.134975,38266.316,22902.865,15979.931,17740.361,17468.95,20926.357,25431.293,23831.02,31761.24,31758.42,36006.805,17.66232,0,0,26081.559,27071.002,24687.193,23774.908,18340.723,23198.496,20690.682,28022.809,17667.12,23651.453,29586.748,36348.254,25313.725,17777.229,
5933,151.07536784275874,3.791467,,,,,,,,,,,3384.9446,0,3674.6826,3567.6426,1938.3303,2668.4897,2447.5244,2509.1125,2725.5916,1768.0383,3593.542,1250.8805,3871.6963,975.3107,6618.982,821.51825,155.64275,14.4501705,889.87695,730.18884,0,517.19714,0,2234.8276,0,805.932,753.8376,0,39.518333,6729.161,5097.639,437.2818,0,488.836,47.00934,588.95605,0,0,0,9318.292,7245.799,1841.3152,6407.8354,7137.545,1312.449,13.86219,2612.401,60.238976,2240.538,0,764.8396,1576.8837,6131.174,7890.3926,4077.6653,8346.464,15803.363,12811.177,23058.88,32.806767,13946.883,14589.824,15277.501,11023.462,10232.225,16121.659,10356.958,12137.661,15907.349,2064.537,10694.774,0,308.23676,616.0522,21588.303,16707.057,13530.895,12259.458,12874.199,25014.113,20592.457,10273.741,15743.768,5459.7383,4312.1807,4208.1826,16023.08,12257.041,
560,151.0754426861081,1.5235522,,,,,,,,,,,0,0,0,10.196079,0,0,0,0,0,10.363476,0,21.968994,21.348618,0,11.468349,10.430832,126.845634,0,0,0,7.641492,0,0,0,0,0,19.92334,0,11.778767,0,0,0,0,0,10.767186,0,0,8.937214,0,25433.53,3706.093,8419.529,6975.601,35344.582,13951.221,25.122658,6424.59,64.37107,18144.43,0,7.88229,17980.078,52204.668,49231.38,57832.33,10764.064,86318.66,23386.008,102115.555,0,94025.805,11520.457,8902.628,18762.32,12231.397,15230.258,4467.6675,4617.909,81648.12,30415.854,18792.582,0,0,15.91446,63465.19,61913.598,53480.15,36463.73,8382.732,22522.041,63386.98,61636.684,42459.777,18525.29,61878.875,74394.26,56780.68,21228.986,
1276,151.07544952817486,2.3361747,,,,91,31,[M-2H2O+H]+,,2,1272;1276,186.08935,10.2831955,0,20.309563,0,0,28.154968,21.927462,0,11.312483,11.454168,9.551134,12.334213,104.44122,0,31.66667,0,119.52639,0,14.825449,0,0,0,52.18043,10.572833,17.361813,11.225227,0,11.1853485,29.854816,11.473076,84.09909,14.4105625,0,108.12924,11.85133,14.73769,8.09951,12.591995,24.364803,34617.43,29351.121,34936.582,45190.293,40105.164,43652.45,26.393463,44703.35,163.246,43115.703,42.403896,36.151703,38221.04,59651.883,64561.902,66653.44,63388.29,86389.73,73096.74,98489.39,14.550333,114899.695,66277.34,57684.312,46225.855,45045.93,59741.477,55223.56,60220.617,83371.2,63212.18,78115.53,0,37.547142,44.600094,72280.52,69877.31,63359.758,61573.42,48365.613,74088.75,65240.883,74259.1,58905.89,59302.375,59467.332,78801.41,70901.08,52439.43,
2856,151.07546279953888,2.8639061,,,,159,,,,,,,175.12682,0,173.62247,25.664616,181.67052,160.19664,172.07106,71.28131,159.62813,350.78888,129.44983,199.38513,146.23462,163.29068,213.26825,94.38586,42.49797,10.079514,67.3839,131.50084,177.2193,243.17883,13.269819,201.41934,166.9168,241.12196,135.86688,115.35678,128.25859,85.043106,155.31152,361.1567,184.69781,158.24113,198.83774,263.28574,137.46738,387.89157,35.507374,33804.133,46688.56,28850.064,50544.05,18170.885,49853.555,43.221962,17989.506,132.65205,17336.059,74.61325,145.02087,11380.277,56418.613,36373.676,49902.52,48027.01,96312.41,91945.16,68290.02,31.889816,195266.06,84205.53,79101.38,44232.5,40968.22,96768.08,80272.914,64660.37,71645.08,76533.86,50428.746,33.01907,24.75143,36.064716,78470.35,102148.97,51193.67,69245.12,63891.402,135348.28,117426.586,62468.152,52538.223,36464.85,81387.87,49968.023,72866.54,47867.45,
919,151.07547187227905,2.1347513,,,,228,,,,,,,8.691104,10.403043,11.947496,0,0,10.403906,11.756111,23.52483,13.024649,15.800201,11.021046,71.208534,169.50964,29.224464,40.868103,17.825184,112.37958,0,20.456505,0,38.511436,21.852127,13.079115,9.813427,15.025188,9.503424,14.906883,63.882324,11.355265,13.623186,20.974842,11.914729,36.282986,76.09648,37.552135,14.4556675,32.397778,44.78055,21.875359,29862.379,28418.977,42881.473,45010.305,50933.797,39288.87,13.730572,51469.72,139.73958,56681.324,11.558086,28.480194,50404.223,58823.54,58322.297,60956.543,49469.008,75212.31,62528.727,84569.77,14.736845,83940.48,61919.473,49854.14,43781.734,38607.613,48639.816,47746.605,48080.5,75219.0,54639.836,72639.37,13.2714405,28.777088,144.12549,58813.984,61157.293,53175.73,46912.38,43964.945,60892.273,56600.906,60505.457,46538.23,63877.434,58206.277,65118.03,56143.895,43062.453,
4391,151.07550114423736,3.3474333,,,,270,86,[M-H2O+H]+,,2,4391;4431,168.07929,10.042498,13.127438,9.286085,27.63245,10.901953,38.395718,52.852962,17.539906,48.011906,29.318253,21.833366,23.789076,444.2267,35.25197,72.594574,28.95651,89.364876,10.717158,124.17392,10.023357,15.251593,22.535091,13.555639,12.593544,32.462498,14.679899,11.036987,30.05804,232.97939,13.846981,49.967987,104.134705,20.370083,40.910374,154.23409,70.05849,29.743519,14.055849,151.88033,19454.422,18088.28,10769.925,18176.691,15005.091,20049.303,47.700203,9182.922,31.093618,11869.423,80.62955,43.966446,9713.123,27877.82,22610.045,31865.406,24823.729,29063.508,42026.516,25199.785,24.91388,52125.86,28144.988,31110.238,23195.781,24821.895,20529.156,24317.895,24526.863,35951.848,23418.027,24281.402,20.550776,135.08049,27.94802,33629.76,32413.16,32476.969,23932.512,18551.953,36921.05,34092.06,27328.697,29311.24,22296.984,35967.715,30158.564,39644.492,21524.486,
7017,151.11180391710735,4.158921,,,,100,,,,,,,0,0,0,0,0,0,0,0,0,0,32.458897,10.892038,156.40639,0,25.321058,0,17.517687,0,0,0,0,0,0,0,0,0,0,0,0,0,48.911087,0,0,0,0,0,0,0,0,7147.277,11711.802,10216.883,22120.713,18911.293,2278.2046,0,21339.016,15.966515,14138.641,0,0,6054.7295,25594.709,11521.239,12448.508,15918.696,13779.103,12742.822,21969.734,0,42827.56,17819.953,8808.827,6652.907,10107.203,8970.809,4759.5537,18284.336,32088.838,16436.645,29849.309,0,135.25024,0,22423.426,15935.6045,9611.884,6842.67,6222.7295,12914.057,13789.555,20647.422,6747.0786,7796.139,16690.662,21045.951,19989.766,3584.0269,
