ID1,ID2,EdgeType,Score,Annotation
44,55,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9743
45,52,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
49,100,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
100,109,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9741
126,131,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
131,135,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
153,156,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9822
333,334,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
370,376,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9822
372,376,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
385,389,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
417,422,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
420,428,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9818
428,434,MS1 annotation,4.000,[2M+H]+ [M+Na]+ dm/z=182.1078
428,437,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9746
429,432,MS1 annotation,2.000,[2M+2H]+2 [M-H2O+NH4]+ dm/z=0.9833
484,490,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9825
525,539,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0266
539,541,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
539,542,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0371
644,647,MS1 annotation,3.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0027
645,647,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9919
645,647,MS1 annotation,3.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9919
659,660,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9822
850,853,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
850,861,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0372
872,883,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
896,902,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0371
898,909,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0374
898,908,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
912,946,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9735
912,960,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9289
946,965,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9818
946,960,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
960,965,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0265
978,982,MS1 annotation,2.000,[2M+K]+ [M+H]+ dm/z=300.0386
987,994,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
987,988,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
988,994,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
988,994,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
1057,1059,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
1096,1101,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9824
1096,1101,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9824
1226,1228,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
1226,1246,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1226,1228,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
1226,1246,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
1228,1246,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
1232,1242,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
1272,1274,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0372
1272,1275,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
1272,1276,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
1282,1291,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9825
1333,1567,MS1 annotation,4.000,[M+K]+ [2M+H]+ dm/z=232.0686
1333,1539,MS1 annotation,4.000,[M+Na]+ [2M+H]+ dm/z=248.0427
1342,1567,MS1 annotation,4.000,[M+K]+ [2M+Na]+ dm/z=254.0508
1361,1362,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9548
1420,1439,MS1 annotation,2.000,[2M-2H2O+Na]+ [M+NH4]+ dm/z=124.0355
1439,1465,MS1 annotation,3.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0039
