row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,bld_plt1_blk_02.mzML Peak area,bld_plt2_05_720_1.mzML Peak area,bld_plt2_04_120_1.mzML Peak area,bld_plt2_03_240_1.mzML Peak area,bld_plt1_10_120_1.mzML Peak area,bld_plt1_08_720_1.mzML Peak area,bld_plt1_07_600_1.mzML Peak area,bld_plt1_08_600_1.mzML Peak area,bld_plt1_07_120_1.mzML Peak area,bld_plt2_03_120_1.mzML Peak area,bld_plt1_07_240_1.mzML Peak area,bld_plt1_04_600_1.mzML Peak area,bld_plt1_08_240_1.mzML Peak area,bld_plt1_04_480_1.mzML Peak area,bld_plt1_04_240_1.mzML Peak area,bld_plt1_05_600_1.mzML Peak area,skin_01_0_FH.mzML Peak area,bld_plt2_blk_04.mzML Peak area,bld_plt2_10_480_1.mzML Peak area,bld_plt2_04_0_1.mzML Peak area,bld_plt2_07_0_1.mzML Peak area,bld_plt2_07_480_1.mzML Peak area,bld_plt2_05_0_1.mzML Peak area,bld_plt2_01_480_1.mzML Peak area,bld_plt2_07_720_1.mzML Peak area,bld_plt1_10_600_1.mzML Peak area,bld_plt1_05_240_1.mzML Peak area,bld_plt2_03_720_1.mzML Peak area,bld_plt1_05_480_1.mzML Peak area,bld_plt2_05_120_1.mzML Peak area,bld_plt1_10_0_1.mzML Peak area,bld_plt2_01_240_1.mzML Peak area,skin_blank_03.mzML Peak area,bld_plt2_08_480_1.mzML Peak area,bld_plt2_10_240_1.mzML Peak area,bld_plt2_08_120_1.mzML Peak area,bld_plt2_04_720_1.mzML Peak area,bld_plt2_08_0_1.mzML Peak area,skin_01_240_FH.mzML Peak area,skin_01_120_FH.mzML Peak area,skin_05_120_FH.mzML Peak area,skin_05_240_FH.mzML Peak area,skin_04_120_FH.mzML Peak area,skin_03_720_FH.mzML Peak area,skin_03_120_FH.mzML Peak area,skin_01_720_FH.mzML Peak area,skin_03_240_FH.mzML Peak area,skin_01_480_FH.mzML Peak area,bld_plt2_10_720_1.mzML Peak area,skin_07_120_FH.mzML Peak area,skin_07_0_FH.mzML Peak area,skin_03_600_FH.mzML Peak area,skin_04_720_FH.mzML Peak area,skin_04_240_FH.mzML Peak area,skin_blank_20.mzML Peak area,skin_03_0_FH.mzML Peak area,skin_01_600_FH.mzML Peak area,skin_03_480_FH.mzML Peak area,bld_plt1_03_0_1.mzML Peak area,bld_plt1_03_600_1.mzML Peak area,bld_plt1_03_480_1.mzML Peak area,bld_plt1_01_0_1.mzML Peak area,bld_plt1_01_600_1.mzML Peak area,bld_plt1_01_120_1.mzML Peak area,bld_plt1_01_720_1.mzML Peak area,skin_07_600_FH.mzML Peak area,skin_07_480_FH.mzML Peak area,skin_05_720_FH.mzML Peak area,skin_08_240_FH.mzML Peak area,skin_07_720_FH.mzML Peak area,skin_05_480_FH.mzML Peak area,skin_04_0_FH.mzML Peak area,skin_04_480_FH.mzML Peak area,skin_04_600_FH.mzML Peak area,skin_08_120_FH.mzML Peak area,skin_08_480_FH.mzML Peak area,skin_05_0_FH.mzML Peak area,skin_10_240_FH.mzML Peak area,skin_10_720_FH.mzML Peak area,skin_08_0_FH.mzML Peak area,skin_08_720_FH.mzML Peak area,skin_10_600_FH.mzML Peak area,skin_10_0_FH.mzML Peak area,skin_10_480_FH.mzML Peak area,skin_10_120_FH.mzML Peak area,skin_07_240_FH.mzML Peak area,skin_05_600_FH.mzML Peak area,skin_08_600_FH.mzML Peak area,
9309,150.06294385126415,4.962045,,,,84,139,[M+H]+,,2,9312;9309,149.05562,130.08562,42.259052,0,156.64075,0,51.15745,345.31912,0,276.11902,95.95847,88.203415,496.61798,962.82654,0,0,0,150.12009,260.57776,59.99539,0,0,0,0,0,0,52.069206,0,0,0,0,428.45343,0,178.20256,0,0,0,0,0,2166415.5,2244137.0,2546182.2,2222284.8,3265370.8,2940925.8,2768777.2,2190778.2,2306443.0,2306579.5,0,915477.06,878542.0,3542555.2,3343539.2,2765996.5,779.64355,2652389.5,2223507.5,3544096.0,0,111.4226,0,0,185.35068,0,57.32955,1136611.0,1044199.1,2350212.8,1038383.2,1139662.5,2350849.2,2771097.8,3465421.5,4026474.8,907086.5,1079395.9,2673931.2,1430473.0,1041058.7,816612.25,833080.8,1284011.8,1219925.2,1238181.9,1317996.1,1479229.8,2881786.5,792032.3,
4203,151.03904527120193,3.3038142,,,,82,,,,,,,0,0,0,19.682175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.045887,0,18.25209,0,0,0,0,0,32.27134,11865.485,14864.08,18189.518,23748.55,20752.832,24205.29,21734.508,12399.753,24074.195,14087.629,24.084646,7706.0513,4771.0234,25724.787,26098.62,21325.773,0,19209.209,13596.942,28170.674,0,0,0,0,0,0,0,11374.337,13023.105,15601.481,14039.659,10439.678,22284.549,11199.636,40089.273,25158.443,13312.279,13100.217,22936.25,14674.535,15344.479,11167.246,14159.276,17312.146,10867.972,19556.707,18674.574,17603.297,7848.89,16856.578,
2560,151.0390704530099,2.7843976,,,,41,,,,,,,0,0,0,0,14.208349,0,29.8143,0,10.749745,0,29.205017,0,0,0,0,0,0,0,0,22.3143,109.48512,45.01614,0,0,10.270117,8.797106,0,24.942394,0,18.443813,97.048615,0,0,38.58038,18.990797,26.892628,20.656221,36.462757,19942.227,26016.658,26910.73,23922.312,24323.398,31761.24,30795.973,25194.543,31799.113,22420.555,30.62217,11723.199,9673.693,38910.01,31758.42,23662.451,0,22902.865,21424.62,38266.316,15.940716,0,19.650387,36.134975,0,17.66232,0,17740.361,15979.931,25895.195,23831.02,17468.95,23651.453,19144.557,36006.805,36348.254,24687.193,20926.357,29586.748,26081.559,23774.908,18340.723,25431.293,27071.002,17667.12,25313.725,23198.496,20690.682,28022.809,17777.229,
5933,151.07536784275865,3.7914674,,,,,,,,,,,0,3384.9446,730.18884,1938.3303,3593.542,3674.6826,2668.4897,6618.982,2725.5916,753.8376,1768.0383,1250.8805,3871.6963,821.51825,975.3107,6729.161,155.64275,14.4501705,889.87695,0,517.19714,0,805.932,0,2234.8276,0,39.518333,47.00934,588.95605,437.2818,5097.639,0,13.86219,488.836,0,0,0,764.8396,1841.3152,7137.545,8346.464,6131.174,7890.3926,15907.349,15803.363,2612.401,12811.177,2240.538,0,9318.292,7245.799,23058.88,2064.537,4077.6653,60.238976,14589.824,1576.8837,13946.883,2447.5244,3567.6426,2509.1125,32.806767,308.23676,0,616.0522,11023.462,15277.501,6407.8354,12137.661,10232.225,5459.7383,1312.449,10694.774,4208.1826,13530.895,16121.659,4312.1807,21588.303,12259.458,12874.199,10356.958,16707.057,15743.768,16023.08,25014.113,20592.457,10273.741,12257.041,
560,151.07544268610812,1.5235524,,,,,,,,,,,0,0,0,0,0,0,0,11.468349,0,19.92334,10.363476,21.968994,21.348618,10.430832,0,0,126.845634,0,0,7.641492,0,0,0,0,0,0,11.778767,10.767186,0,0,0,0,25.122658,0,0,8.937214,0,7.88229,8419.529,35344.582,10764.064,52204.668,49231.38,81648.12,86318.66,6424.59,23386.008,18144.43,0,25433.53,3706.093,102115.555,30415.854,57832.33,64.37107,11520.457,17980.078,94025.805,0,10.196079,0,0,0,0,15.91446,18762.32,8902.628,6975.601,4617.909,12231.397,18525.29,13951.221,18792.582,74394.26,53480.15,15230.258,61878.875,63465.19,36463.73,8382.732,4467.6675,61913.598,42459.777,56780.68,22522.041,63386.98,61636.684,21228.986,
1276,151.07544952817494,2.336174,,,,91,31,[M-2H2O+H]+,,2,1272;1276,186.08935,0,10.2831955,0,0,9.551134,20.309563,28.154968,31.66667,11.312483,0,11.454168,12.334213,104.44122,0,0,11.473076,119.52639,0,14.825449,0,0,17.361813,11.225227,52.18043,10.572833,11.1853485,29.854816,11.85133,14.73769,14.4105625,84.09909,24.364803,26.393463,108.12924,0,12.591995,8.09951,36.151703,34936.582,40105.164,63388.29,59651.883,64561.902,83371.2,86389.73,44703.35,73096.74,43115.703,42.403896,34617.43,29351.121,98489.39,63212.18,66653.44,163.246,66277.34,38221.04,114899.695,21.927462,0,0,14.550333,37.547142,0,44.600094,46225.855,57684.312,45190.293,60220.617,45045.93,59302.375,43652.45,78115.53,78801.41,63359.758,59741.477,59467.332,72280.52,61573.42,48365.613,55223.56,69877.31,58905.89,70901.08,74088.75,65240.883,74259.1,52439.43,
2856,151.07546279953894,2.8639057,,,,168,,,,,,,0,175.12682,131.50084,181.67052,129.44983,173.62247,160.19664,213.26825,159.62813,135.86688,350.78888,199.38513,146.23462,94.38586,163.29068,85.043106,42.49797,10.079514,67.3839,177.2193,243.17883,166.9168,241.12196,13.269819,201.41934,115.35678,128.25859,198.83774,263.28574,361.1567,155.31152,35.507374,43.221962,158.24113,184.69781,387.89157,137.46738,145.02087,28850.064,18170.885,48027.01,56418.613,36373.676,71645.08,96312.41,17989.506,91945.16,17336.059,74.61325,33804.133,46688.56,68290.02,76533.86,49902.52,132.65205,84205.53,11380.277,195266.06,172.07106,25.664616,71.28131,31.889816,24.75143,33.01907,36.064716,44232.5,79101.38,50544.05,64660.37,40968.22,36464.85,49853.555,50428.746,49968.023,51193.67,96768.08,81387.87,78470.35,69245.12,63891.402,80272.914,102148.97,52538.223,72866.54,135348.28,117426.586,62468.152,47867.45,
919,151.07547187227914,2.1347508,,,,229,,,,,,,10.403043,8.691104,0,0,11.021046,11.947496,10.403906,40.868103,13.024649,14.906883,15.800201,71.208534,169.50964,17.825184,29.224464,13.623186,112.37958,0,20.456505,38.511436,21.852127,15.025188,9.503424,13.079115,9.813427,63.882324,11.355265,37.552135,14.4556675,11.914729,20.974842,21.875359,13.730572,76.09648,36.282986,44.78055,32.397778,28.480194,42881.473,50933.797,49469.008,58823.54,58322.297,75219.0,75212.31,51469.72,62528.727,56681.324,11.558086,29862.379,28418.977,84569.77,54639.836,60956.543,139.73958,61919.473,50404.223,83940.48,11.756111,0,23.52483,14.736845,28.777088,13.2714405,144.12549,43781.734,49854.14,45010.305,48080.5,38607.613,63877.434,39288.87,72639.37,65118.03,53175.73,48639.816,58206.277,58813.984,46912.38,43964.945,47746.605,61157.293,46538.23,56143.895,60892.273,56600.906,60505.457,43062.453,
4391,151.07550114423736,3.3474336,,,,268,86,[M-H2O+H]+,,2,4431;4391,168.07929,13.127438,10.042498,10.023357,10.901953,21.833366,9.286085,38.395718,72.594574,48.011906,11.036987,29.318253,23.789076,444.2267,28.95651,35.25197,13.846981,89.364876,10.717158,124.17392,15.251593,22.535091,32.462498,14.679899,13.555639,12.593544,30.05804,232.97939,154.23409,70.05849,104.134705,49.967987,151.88033,47.700203,40.910374,20.370083,14.055849,29.743519,43.966446,10769.925,15005.091,24823.729,27877.82,22610.045,35951.848,29063.508,9182.922,42026.516,11869.423,80.62955,19454.422,18088.28,25199.785,23418.027,31865.406,31.093618,28144.988,9713.123,52125.86,52.852962,27.63245,17.539906,24.91388,135.08049,20.550776,27.94802,23195.781,31110.238,18176.691,24526.863,24821.895,22296.984,20049.303,24281.402,30158.564,32476.969,20529.156,35967.715,33629.76,23932.512,18551.953,24317.895,32413.16,29311.24,39644.492,36921.05,34092.06,27328.697,21524.486,
7017,151.11180391710738,4.1589203,,,,100,,,,,,,0,0,0,0,32.458897,0,0,25.321058,0,0,0,10.892038,156.40639,0,0,0,17.517687,0,0,0,0,0,0,0,0,0,0,0,0,0,48.911087,0,0,0,0,0,0,0,10216.883,18911.293,15918.696,25594.709,11521.239,32088.838,13779.103,21339.016,12742.822,14138.641,0,7147.277,11711.802,21969.734,16436.645,12448.508,15.966515,17819.953,6054.7295,42827.56,0,0,0,0,135.25024,0,0,6652.907,8808.827,22120.713,18284.336,10107.203,7796.139,2278.2046,29849.309,21045.951,9611.884,8970.809,16690.662,22423.426,6842.67,6222.7295,4759.5537,15935.6045,6747.0786,19989.766,12914.057,13789.555,20647.422,3584.0269,
