id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
2_example_sirius_3847	C12H22O6	[M - H2O + H]+	C12H20O5	Fatty acids	0.9380313754081726	Fatty Acids and Conjugates	0.5229309797286987	Monoacylglycerols	0.438382089138031	2-monoacylglycerols	0.5323480367660522	Monoacylglycerols	0.9850627183914185	Monoradylglycerols	0.9713010191917419	Glycerolipids	0.9735448956489563	Lipids and lipid-like molecules	0.9996330738067627	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Monoacylglycerols; Carboxylic acids; Carboxylic acid esters; 2-monoacylglycerols; Carbonyl compounds; Medium-chain fatty acids; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	3847
3_example_sirius_10375	C33H53NO6	[M + H]+	C33H53NO6	Terpenoids	0.9700130820274353	Pseudoalkaloids	0.3404640555381775	Oleanane triterpenoids	0.12547896802425385	Lipids and lipid-like molecules	0.9731670022010803							Lipids and lipid-like molecules	0.9731670022010803	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Alkanolamines; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	10375
4_example_sirius_11797	C13H19O7P3S5	[M + H]+	C13H19O7P3S5	Fatty acids	0.7316328883171082	Fatty acyls	0.014283577911555767	Pyridine alkaloids	0.00798737071454525	1,4-dioxanes	0.5148860812187195			1,4-dioxanes	0.5148860812187195	Dioxanes	0.04442087560892105	Organoheterocyclic compounds	0.859928548336029	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; 1,4-dioxanes; Sulfenyl compounds; Organic dithiophosphoric acids and derivatives; Dithiophosphate S-esters; Hydrocarbon derivatives; Dithiophosphate O-esters; Organic oxygen compounds; Chemical entities	11797
5_example_sirius_9065	C19H21NO3	[M + H]+	C19H21NO3	Alkaloids	0.9935047626495361	Lysine alkaloids	0.987586498260498	Piperidine alkaloids	0.9547496438026428	Benzodioxoles	0.9796203970909119					Benzodioxoles	0.9796203970909119	Organoheterocyclic compounds	0.9999998807907104	Organic compounds; Organoheterocyclic compounds; Styrenes; Piperidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzodioxoles; Organooxygen compounds; N-acylpiperidines; Carboxylic acid amides; Carboxylic acid derivatives; Acetals; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9065
6_example_sirius_5043	C19H20O7	[M + H]+	C19H20O7	Shikimates and Phenylpropanoids	0.35421663522720337	Coumarins	0.1294092833995819	Neolignans	0.1119915246963501	Benzofurans	0.7107898592948914					Benzofurans	0.7107898592948914	Organoheterocyclic compounds	0.9990615248680115	Organic compounds; Organoheterocyclic compounds; Lactones; Alkyl aryl ethers; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzofurans; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Acetals; Carbonyl compounds; Phenol ethers; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Coumarans; Organic oxygen compounds; Chemical entities	5043
7_example_sirius_9154	C28H50NO7P	[M + H]+	C28H50NO7P	Fatty acids	0.9879279732704163	Glycerophospholipids	0.9981184005737305	Glycerophosphocholines	0.9877975583076477	1-acyl-sn-glycero-3-phosphocholines	0.9361156225204468	Lysophosphatidylcholines	0.8980583548545837	Glycerophosphocholines	0.9223232269287109	Glycerophospholipids	0.9458214044570923	Lipids and lipid-like molecules	0.9970384836196899	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphocholines; Lysophosphatidylcholines; 1-acyl-sn-glycero-3-phosphocholines; Secondary alcohols; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9154
8_example_sirius_9747	C18H38O7S	[M + H]+	C18H38O7S	Fatty acids	0.9516757726669312	Glycerolipids	0.9894841313362122	Monoacylglycerols	0.9488859176635742	Sulfuric acid monoesters	0.9993970394134521	Sulfuric acid monoesters	0.9993970394134521	Sulfuric acid esters	0.9980261921882629	Organic sulfuric acids and derivatives	0.9999901056289673	Organic acids and derivatives	0.9945448637008667	Organic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Dialkyl ethers; Sulfuric acid monoesters; Sulfuric acid esters; Alkyl sulfates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	9747
10_example_sirius_4858	C22H34O8	[M - H4O2 + H]+	C22H30O6	Fatty acids	0.7690381407737732	Eicosanoids	0.557343065738678	Prostaglandins	0.6283949017524719	Hydroxy acids and derivatives	0.5146128535270691					Hydroxy acids and derivatives	0.5146128535270691	Organic acids and derivatives	0.9001569747924805	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	4858
13_example_sirius_8873	C16H30O3S	[M + H]+	C16H30O3S	Fatty acids	0.9292572736740112	Fatty Acids and Conjugates	0.8431013226509094	Branched fatty acids	0.41978543996810913	Fatty Acyls	0.7056821584701538					Fatty Acyls	0.7056821584701538	Lipids and lipid-like molecules	0.7622354030609131	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Sulfenyl compounds; Methyl esters; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	8873
14_example_sirius_6308	C16H28O5	[M + H]+	C16H28O5	Fatty acids	0.9350978136062622	Fatty esters	0.2084006667137146	Dicarboxylic acids	0.19492727518081665	1-monoacylglycerols	0.6985787749290466	Monoacylglycerols	0.7228618860244751	Monoradylglycerols	0.6944228410720825	Glycerolipids	0.9296419024467468	Lipids and lipid-like molecules	0.8856651782989502	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Monoacylglycerols; Carboxylic acids; Carboxylic acid esters; 1-monoacylglycerols; Carbonyl compounds; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	6308
