confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	2	1	7	0.999981514673019	-5.784521802922817	N/A	22.072358083510984	C33H64NO10P	[M + H]+	GHQQYDSARXURNG	InChI=1S/C33H64NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-18-21-24-32(37)41-28-30(29-43-45(39,40)42-27-26-34(2,3)4)44-33(38)25-22-19-16-17-20-23-31(35)36/h30H,5-29H2,1-4H3,(H-,35,36,39,40)/p+1	azelaoyl PC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(=O)O	8.0	10995965;10995966;46907870;46907871;56846165;56846166;86289475	COCONUT:(CNP0313305);PubChem:(10995965 10995966 46907870 46907871 56846165 56846166 86289475);CHEBI:(61817 78207);additional;MeSH:(46907870);Training Set;PubMed	2637926	666.43416	341.3971103435755	4736_example_sirius_10575	10575
2	1	1	1	1	0.999053305826264	-7.070363587189297	N/A	29.99122096774348	C14H16N2O5	[M + H]+	ILJOYLTXYCZXTB	InChI=1S/C14H16N2O5/c17-9-3-1-8(2-4-9)7-11(14(20)21)16-13(19)10-5-6-12(18)15-10/h1-4,10-11,17H,5-7H2,(H,15,18)(H,16,19)(H,20,21)	null	C1CC(=O)NC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.200000003	23422547;28203846;28203848;28203850;25796392;61152383;104904456;108102932;108102934	COCONUT:(CNP0411198);Training Set;PubChem:(23422547 28203846 28203848 28203850 25796392 61152383 104904456 108102932 108102934);ZINC bio:(ZINC13541624);additional	2646018	293.11329	72.74171060144901	3296_example_sirius_513	513
3	1	1	1	2	0.9990196517879724	-8.09704777428203	N/A	28.23200723599301	C14H16N2O5	[M + H]+	ILJOYLTXYCZXTB	InChI=1S/C14H16N2O5/c17-9-3-1-8(2-4-9)7-11(14(20)21)16-13(19)10-5-6-12(18)15-10/h1-4,10-11,17H,5-7H2,(H,15,18)(H,16,19)(H,20,21)	null	C1CC(=O)NC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.200000003	23422547;28203846;28203848;28203850;25796392;61152383;104904456;108102932;108102934	COCONUT:(CNP0411198);Training Set;PubChem:(23422547 28203846 28203848 28203850 25796392 61152383 104904456 108102932 108102934);ZINC bio:(ZINC13541624);additional	2646018	293.11358	57.3	2311_example_sirius_400	400
4	1	1	1	1	0.9989154051807585	-1.1380112906005233	N/A	43.33950985222693	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.1341	36.39392147581442	3342_example_sirius_240	240
5	1	1	1	1	0.9988985801433727	-1.3938841920340461	N/A	29.769850323364604	C13H16N2O4	[M + H]+	JFLIEFSWGNOPJJ	InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)	PA-L-Glutamine	C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)O	0.0	92258;306137;6713098;13728880;25200515;118797126;129627056;135153751	HMDB:(6344 62645);SuperNatural:(SN00216659);ZINC bio:(ZINC01529869 ZINC01530235);additional;MeSH:(92258);PubMed;NORMAN:(NS00014900);COCONUT:(CNP0082728 CNP0324209);PubChem:(92258 306137 6713098 13728880 25200515 118797126 129627056 135153751);CHEBI:(17884 8087 58310);PubChem class - bio and metabolites;KEGG:(C04148);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-1097)	87845230	265.11846	114.79761178528862	4793_example_sirius_712	712
6	1	1	1	1	0.9986276222760095	-0.4035841513378089	N/A	57.95227662095848	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.09717	61.762379422226935	5143_example_sirius_448	448
7	1	1	1	10	0.9984491963894011	-7.18669393527122	N/A	64.94700386004075	C14H16N2O4	[M + H]+	XCEZCXFVJLMPKG	InChI=1S/C14H16N2O4/c17-12-7-6-10(15-12)13(18)16-11(14(19)20)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8H2,(H,15,17)(H,16,18)(H,19,20)	Phenylalanine, N-(5-oxo-L-prolyl)-	C1CC(=O)NC1C(=O)NC(CC2=CC=CC=C2)C(=O)O	0.600000024	7408330;7408331;13961383;28214674;28214676;40428046;61137305;103804333;106832122;106832124	COCONUT:(CNP0187663);Natural Products:(UNPD211593);PubChem:(7408330 7408331 13961383 28214674 28214676 40428046 61137305 103804333 106832122 106832124);ZINC bio:(ZINC04899616);additional;Training Set	2678786	277.11839	149.9369773864746	3966_example_sirius_1773	1773
8	1	1	1	1	0.9983665428071155	-0.8197319365051793	N/A	44.0210619974993	C17H19NO3	[M + H]+	MXXWOMGUGJBKIW	InChI=1S/C17H19NO3/c19-17(18-10-4-1-5-11-18)7-3-2-6-14-8-9-15-16(12-14)21-13-20-15/h2-3,6-9,12H,1,4-5,10-11,13H2	piperine	C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3	3.32762289	4840;1548912;1548913;1548914;638024;86737060	HMDB:(29377);PubChem class - food;SuperNatural:(SN00002072 SN00020469 SN00157635);ZINC bio:(ZINC01529772 ZINC05368587 ZINC05945454 ZINC13536861);additional;MeSH:(638024);Plantcyc:(N-EE-PIPEROYL-PIPERIDINE);PubMed;NORMAN:(NS00009248);COCONUT:(CNP0193594);KNApSAcK:(2065);Natural Products:(UNPD121561 UNPD91785 UNPD107247 UNPD95612 UNPD230700);PubChem:(4840 1548912 1548913 1548914 638024 86737060);CHEBI:(28821 93043);PubChem class - bio and metabolites;KEGG:(C03882);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(N-DESULFOHEPARIN N-EE-PIPEROYL-PIPERIDINE)	255781246	286.14387	276.19218776156924	4368_example_sirius_8217	8217
9	1	1	1	1	0.9977840663981029	-1.43555232401523	N/A	15.305486924820592	C14H18N2O3	[M + H]+	IWIANZLCJVYEFX	InChI=1S/C14H18N2O3/c17-13(11-7-4-8-15-11)16-12(14(18)19)9-10-5-2-1-3-6-10/h1-3,5-6,11-12,15H,4,7-9H2,(H,16,17)(H,18,19)	prolylphenylalanine	C1CC(NC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O	1.31420982	1770052;1770053;7081633;5226097;6351946;44369053;53938781;56845412;61157145;61174540;103868978;103869007	COCONUT:(CNP0401040);HMDB:(11179);PubChem:(1770052 1770053 7081633 5226097 6351946 44369053 53938781 56845412 61157145 61174540 103868978 103869007);SuperNatural:(SN00036159 SN00036216 SN00036331 SN00036332);CHEBI:(74795);ZINC bio:(ZINC02115314 ZINC04038394 ZINC05260863 ZINC05260866);additional;PubChem class - bio and metabolites;Training Set;PubMed;KEGG Mine	8610406506	263.13923	136.55188422556967	3899_example_sirius_1215	1215
10	1	1	1	1	0.9972928829353778	-1.2172651555700311	N/A	53.580184901803705	C14H27NO3	[M + H]+	JWGGSJFIGIGFSQ	InChI=1S/C14H27NO3/c1-2-3-4-5-6-7-8-9-10-11-13(16)15-12-14(17)18/h2-12H2,1H3,(H,15,16)(H,17,18)	Acylglycine c:12	CCCCCCCCCCCC(=O)NCC(=O)O	4.30000019	346152;4068942;45934058	COCONUT:(CNP0001599 CNP0213254);HMDB:(13272);PubChem:(346152 4068942 45934058);SuperNatural:(SN00027353);CHEBI:(142678 74441);ZINC bio:(ZINC28539109);PubMed	3154026	258.20647	294.77497070312495	5892_example_sirius_8941	8941
