id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
2_group1_sirius_14437	C30H48O4	[M + H]+	C30H48O4	Terpenoids	0.8852680325508118	Apocarotenoids	0.21262279152870178	Carotenoids (C40, β-β)	0.4140784442424774	Prenol lipids	0.9095573425292969					Prenol lipids	0.9095573425292969	Lipids and lipid-like molecules	0.9079789519309998	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organooxygen compounds; Cyclic alcohols and derivatives; Secondary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	14437
3_group1_sirius_7298	C14H24N4	[M + Na]+	C14H24N4	Alkaloids	0.922859251499176	Guanidine alkaloids	0.2898869216442108	Tricyclic guanidine alkaloids	0.7308178544044495	Heteroaromatic compounds	0.8387762308120728					Heteroaromatic compounds	0.8387762308120728	Organoheterocyclic compounds	0.5509233474731445	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	7298
5_group1_sirius_4310	C9H12O6	[M - H4O2 + H]+	C9H8O4	Shikimates and Phenylpropanoids	0.9900402426719666	Phenolic acids (C6-C1)	0.849289059638977	Simple phenolic acids	0.6114121675491333	Gallic acid and derivatives	0.9965751767158508	Hydroxybenzoic acid derivatives	0.8161176443099976	Benzoic acids and derivatives	0.8401950001716614	Benzene and substituted derivatives	0.9499204754829407	Benzenoids	0.8834856748580933	Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Secondary alcohols; Benzene and substituted derivatives; Polyols; Phenol ethers; Methoxybenzoic acids and derivatives; M-methoxybenzoic acids and derivatives; Benzenoids; Cyclohexanols; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	4310
6_group1_sirius_5094	C17H30O6	[M - H2O + H]+	C17H28O5	Polyketides	0.9478397369384766	Linear polyketides	0.8423673510551453	Open-chain polyketides	0.9372411370277405	Beta hydroxy acids and derivatives	0.6927453875541687			Beta hydroxy acids and derivatives	0.6927453875541687	Hydroxy acids and derivatives	0.5887281894683838	Organic acids and derivatives	0.9994726777076721	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	5094
7_group1_sirius_3970	C23H27N5O5	[M + H]+	C23H27N5O5	Amino acids and Peptides	0.4147661030292511	Small peptides	0.7820374965667725	Tripeptides	0.6244481205940247	Phenylalanine and derivatives	0.6610050797462463	Amino acids and derivatives	0.6920552849769592	Amino acids, peptides, and analogues	0.6936375498771667	Carboxylic acids and derivatives	0.9780194759368896	Organic acids and derivatives	0.99657142162323	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Oxadiazoles; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenylalanine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	3970
8_group1_sirius_5335	C12H20O5	[M + H]+	C12H20O5	Fatty acids	0.8902002573013306	Fatty Acids and Conjugates	0.9118995666503906	Dicarboxylic acids	0.9105741381645203	Medium-chain fatty acids	0.5754104256629944	Medium-chain fatty acids	0.5754104256629944	Fatty acids and conjugates	0.7721255421638489	Fatty Acyls	0.7629243731498718	Lipids and lipid-like molecules	0.8312376141548157	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	5335
9_group1_sirius_12349	C2H8O8P2	[M - H4O2 + H]+	C2H4O6P2	Carbohydrates	0.45089074969291687	Saccharides	0.44890862703323364	Monosaccharides	0.05856412276625633	Organic phosphonic acids	0.9877439141273499			Organic phosphonic acids	0.9877439141273499	Organic phosphonic acids and derivatives	0.9945510029792786	Organic acids and derivatives	0.995796799659729	Organic compounds; Organic acids and derivatives; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic anions; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	12349
10_group1_sirius_13459	C17H35NO	[M + H]+	C17H35NO	Fatty acids	0.7814475297927856	Fatty amides	0.8652400374412537	N-acyl amines	0.5634693503379822	Lipids and lipid-like molecules	0.5287217497825623							Lipids and lipid-like molecules	0.5287217497825623	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	13459
11_group1_sirius_10143	C33H52N2O2	[M + H]+	C33H52N2O2	Terpenoids	0.4421016275882721	Pseudoalkaloids	0.29691997170448303	Steroidal alkaloids	0.3215785324573517	Androstane steroids	0.5831984281539917			Androstane steroids	0.5831984281539917	Steroids and steroid derivatives	0.347881019115448	Lipids and lipid-like molecules	0.6276329755783081	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organonitrogen compounds; Organooxygen compounds; Estrane steroids; Benzenoids; Amines; Androstane steroids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	10143
12_group1_sirius_9638	C22H43NO3	[M + H]+	C22H43NO3	Fatty acids	0.9358181357383728	Fatty amides	0.33474040031433105	Simple amide alkaloids	0.0797947570681572	Primary alcohols	0.9792688488960266	Primary alcohols	0.9792688488960266	Alcohols and polyols	0.9951500296592712	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9638
