confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	9	0.9999815344269716	-5.312867228487351	N/A	29.560994484775293	C33H64NO10P	[M + H]+	GHQQYDSARXURNG	InChI=1S/C33H64NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-18-21-24-32(37)41-28-30(29-43-45(39,40)42-27-26-34(2,3)4)44-33(38)25-22-19-16-17-20-23-31(35)36/h30H,5-29H2,1-4H3,(H-,35,36,39,40)/p+1	azelaoyl PC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(=O)O	8.0	10995965;10995966;46907870;46907871;56846165;56846166;86289475	COCONUT:(CNP0313305);PubChem:(10995965 10995966 46907870 46907871 56846165 56846166 86289475);CHEBI:(61817 78207);additional;MeSH:(46907870);Training Set;PubMed	2637926	666.43415	340.53179380114193	5294_group1_sirius_10852	10852
2	1	1	1	2	0.9990135817800005	-8.603270605542416	N/A	26.96548881728021	C14H16N2O5	[M + H]+	ILJOYLTXYCZXTB	InChI=1S/C14H16N2O5/c17-9-3-1-8(2-4-9)7-11(14(20)21)16-13(19)10-5-6-12(18)15-10/h1-4,10-11,17H,5-7H2,(H,15,18)(H,16,19)(H,20,21)	null	C1CC(=O)NC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.200000003	23422547;28203846;28203848;28203850;25796392;61152383;104904456;108102932;108102934	COCONUT:(CNP0411198);Training Set;PubChem:(23422547 28203846 28203848 28203850 25796392 61152383 104904456 108102932 108102934);ZINC bio:(ZINC13541624);additional	2646018	293.11376	72.945	3885_group1_sirius_482	482
3	1	1	1	2	0.9989042181290841	-0.6848495724137896	N/A	46.3677834502748	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.13397	36.637489058749054	3772_group1_sirius_254	254
4	1	1	1	1	0.9988985801433727	-1.3938841920340461	N/A	29.769850323364604	C13H16N2O4	[M + H]+	JFLIEFSWGNOPJJ	InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)	PA-L-Glutamine	C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)O	0.0	92258;306137;6713098;13728880;25200515;118797126;129627056;135153751	HMDB:(6344 62645);SuperNatural:(SN00216659);ZINC bio:(ZINC01529869 ZINC01530235);additional;MeSH:(92258);PubMed;NORMAN:(NS00014900);COCONUT:(CNP0082728 CNP0324209);PubChem:(92258 306137 6713098 13728880 25200515 118797126 129627056 135153751);CHEBI:(17884 8087 58310);PubChem class - bio and metabolites;KEGG:(C04148);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-1097)	87845230	265.11846	114.20378145518842	3188_group1_sirius_659	659
5	1	1	3	3	0.9986702183650165	-2.2044861036315555	N/A	23.90242233613968	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.134	31.9225	2311_group1_sirius_130	130
6	1	1	1	1	0.9986351284490349	-0.5966236119081286	N/A	59.26562329109551	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.09723	61.619281678855586	5597_group1_sirius_420	420
7	1	1	1	4	0.9985942667833343	-9.26523107174864	N/A	52.8121588784635	C14H16N2O4	[M + H]+	XCEZCXFVJLMPKG	InChI=1S/C14H16N2O4/c17-12-7-6-10(15-12)13(18)16-11(14(19)20)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8H2,(H,15,17)(H,16,18)(H,19,20)	Phenylalanine, N-(5-oxo-L-prolyl)-	C1CC(=O)NC1C(=O)NC(CC2=CC=CC=C2)C(=O)O	0.600000024	7408330;7408331;13961383;28214674;28214676;40428046;61137305;103804333;106832122;106832124	COCONUT:(CNP0187663);Natural Products:(UNPD211593);PubChem:(7408330 7408331 13961383 28214674 28214676 40428046 61137305 103804333 106832122 106832124);ZINC bio:(ZINC04899616);additional;Training Set	2678786	277.11871	150.43523559570312	5946_group1_sirius_1727	1727
8	1	1	1	1	0.9983939196284759	-2.6034609632044265	N/A	16.075090361136773	C11H12N2O2	[M + Na]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	227.07929	61.25966057921924	5949_group1_sirius_428	428
9	1	1	1	1	0.9983445599870825	-0.8481142934186131	N/A	44.89925488960266	C17H19NO3	[M + H]+	MXXWOMGUGJBKIW	InChI=1S/C17H19NO3/c19-17(18-10-4-1-5-11-18)7-3-2-6-14-8-9-15-16(12-14)21-13-20-15/h2-3,6-9,12H,1,4-5,10-11,13H2	piperine	C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3	3.32762289	4840;1548912;1548913;1548914;638024;86737060	HMDB:(29377);PubChem class - food;SuperNatural:(SN00002072 SN00020469 SN00157635);ZINC bio:(ZINC01529772 ZINC05368587 ZINC05945454 ZINC13536861);additional;MeSH:(638024);Plantcyc:(N-EE-PIPEROYL-PIPERIDINE);PubMed;NORMAN:(NS00009248);COCONUT:(CNP0193594);KNApSAcK:(2065);Natural Products:(UNPD121561 UNPD91785 UNPD107247 UNPD95612 UNPD230700);PubChem:(4840 1548912 1548913 1548914 638024 86737060);CHEBI:(28821 93043);PubChem class - bio and metabolites;KEGG:(C03882);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(N-DESULFOHEPARIN N-EE-PIPEROYL-PIPERIDINE)	255781246	286.14387	276.1802635217608	2538_group1_sirius_8449	8449
10	1	1	1	1	0.9978276656911448	-0.6819498681477659	N/A	50.597184097905014	C14H27NO3	[M + H]+	JWGGSJFIGIGFSQ	InChI=1S/C14H27NO3/c1-2-3-4-5-6-7-8-9-10-11-13(16)15-12-14(17)18/h2-12H2,1H3,(H,15,16)(H,17,18)	Acylglycine c:12	CCCCCCCCCCCC(=O)NCC(=O)O	4.30000019	346152;4068942;45934058	COCONUT:(CNP0001599 CNP0213254);HMDB:(13272);PubChem:(346152 4068942 45934058);SuperNatural:(SN00027353);CHEBI:(142678 74441);ZINC bio:(ZINC28539109);PubMed	3154026	258.20633	294.5603125	5171_group1_sirius_9231	9231
