formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C8H15NO2	[M + H]+	C8H15NO2	40.46524190017138	37.50058070183377	2.964661198337609	5	0.7540996654851596	4.764244713198427	4.764244713198427	0.6629740755557023		158.11766	61.843125	1_group2_sirius_549	549
1	C39H59N3O5	[M + H]+	C39H59N3O5	28.286705297739452	28.286705297739452	0.0	9	0.8355821330271791	2.028670216651429	2.0715413938960983	4.1994571393374684		650.45548	423.85375	2_group2_sirius_15863	15863
1	C17H28O5	[M + H]+	C17H28O5	99.58641405050578	99.58641405050578	0.0	27	0.9709831236828323	3.838761277424706	3.838761277424706	-0.41649983703040483		313.20082	217.0713037109375	3_group2_sirius_5542	5542
1	C33H46N4O6	[M + H]+	C33H46N4O6	22.420104665468784	13.865223934389853	8.554880731078931	4	0.9958844666541677	0.7267652957794767	1.9131727738486999	0.7363001839056453		595.34945	264.37078033447267	4_group2_sirius_8384	8384
1	C12H22N2O2	[M + H]+	C12H22N2O2	15.58152605743849	12.588682093773736	2.9928439636647535	3	0.9404482166718606	0.5894290693148099	1.093412215114036	-1.1638425336894798		227.17514	78.0	5_group2_sirius_671	671
1	C18H38O5	[M + H3N + H]+	C18H41NO5	26.46421543013221	26.46421543013221	0.0	8	0.9531384839472397	6.688040330863757	6.688040330863757	-0.02799866543045166		352.30574	317.799697265625	6_group2_sirius_10666	10666
1	C24H38O2	[M + Na]+	C24H38O2	3.450204789835862	3.3648010578246965	0.08540373201116552	1	0.0	1.5916089792354464	1.5916089792354464	2.9344607294621112		381.27752	407.655	7_group2_sirius_15011	15011
1	C30H52O5	[M + Na]+	C30H52O5	1015.9299665240309	1015.9299665240309	0.0	2	0.5714253061411078	-1.0164131006052757	1.0164131006052757	-0.2628479410818035	DG(6:0_21:3)	515.37056	363.11	8_group2_sirius_12676	12676
1	C28H48O3	[M + H]+	C28H48O3	32.90406434750716	32.90406434750716	0.0	7	0.5782091942693873	5.08136037664652	5.08136037664652	1.0110387681096218		433.36806	409.56	9_group2_sirius_15168	15168
1	C21H44O4	[M + H]+	C21H44O4	20.06760685543821	12.003549517845775	8.064057337592436	4	0.8443592528629239	5.76073038249473	5.76073038249473	0.6743390016064236		361.33148	387.4925	10_group2_sirius_14047	14047
1	C18H32O4	[M + Na]+	C18H32O4	6.787204568308521	3.278720654746638	3.508483913561883	1	0.0	2.514156673934056	2.514156673934056	3.8774347012361217		335.22058	269.921875	11_group2_sirius_8707	8707
1	C23H42O5	[M + Na]+	C23H42O5	3.392036578232948	3.392036578232948	0.0	1	0.0	1.286173580404713	1.286173580404713	1.293294506233327		421.29299	246.07999999999998	12_group2_sirius_7250	7250
1	C22H30O8	[M + H3N + H]+	C22H33NO8	49.724094760160675	49.724094760160675	0.0	25	0.9189961124087646	3.2028791723662384	3.2028791723662384	-0.46218830657090476		440.22769	178.53720733642575	13_group2_sirius_3634	3634
1	C12H21NO5	[M + H]+	C12H21NO5	16.809304122609767	15.850904740113569	0.9583993824961989	3	1.0	3.4072674871980166	3.4072674871980166	0.04142202640059179		260.14926	122.48	14_group2_sirius_1112	1112
1	C25H49N5O8	[M + H]+	C25H49N5O8	16.62334752620754	10.864188371670815	5.759159154536723	5	0.9825469533177257	3.2531057523896454	3.6010118452581734	-2.2794708831728894		548.36414	156.05875	15_group2_sirius_2482	2482
1	C25H46NO12P	[M + H]+	C25H46NO12P	7.84907070294762	2.7059183013032273	5.143152401644393	4	0.9656042287298042	2.034222039006929	2.034222039006929	0.3782513116194491		584.28326	195.025	16_group2_sirius_4526	4526
1	C15H24O4	[M + H]+	C15H24O4	36.67105030791156	34.6333858600262	2.037664447885356	9	1.0	5.031081549162499	6.248764625435652	0.5360823767676259		269.17488	260.925	17_group2_sirius_8213	8213
1	C18H32O5	[M - H4O2 + H]+	C18H28O3	67.04138550451208	67.04138550451208	0.0	12	1.0000000000000002	2.562095177295907	2.562095177295907	-122850.45446975523		293.21113	229.7	18_group2_sirius_6522	6522
1	C6H7N3O16P2S3	[M - H4O2 + H]+	C6H3N3O14P2S3	0.20826048769891736	0.20826048769891736	0.0	3	0.3689655681331818	8.76898498287779	8.76898498287779	-72064.54250032376		499.83338	392.475	19_group2_sirius_14294	14294
1	C10H17NO3	[M + H]+	C10H17NO3	24.77429013307156	21.897550288937722	2.8767398441338363	4	0.9076036989737342	1.8175554014974273	1.8175554014974273	2.0993702821195583		200.12854	184.28750000000002	20_group2_sirius_3985	3985
1	C10H17NO5	[M + H]+	C10H17NO5	34.29807156036726	34.29807156036726	0.0	8	0.990787690294885	5.2851835689124576	5.2851835689124576	0.2623833863017887		232.11801	27.90625	21_group2_sirius_57	57
1	C25H32O9	[M + H3N + H]+	C25H35NO9	28.915690554418468	23.794867190319636	5.120823364098832	10	0.9701464559253891	1.083649841036922	1.27574870253427	0.06443834319809878		494.23849	153.30375	22_group2_sirius_2285	2285
1	C39H52O2	[M + H]+	C39H52O2	13.109324283857841	13.109324283857841	0.0	7	0.7999799464756598	4.4321002389732005	4.4321002389732005	-7.494320816182654		553.39986	436.60375	23_group2_sirius_16312	16312
1	C5H8ClO4	[M + Na]+	C5H8ClO4	43.46935194327921	42.94914946407131	0.5202024792078959	12	0.5988531497128254	4.662969395685693	10.064189823903828	3.1993731687916296		190.00094	386.1001066589355	24_group2_sirius_13929	13929
1	C15H20O4	[M + H]+	C15H20O4	46.01880074667062	40.39929462272653	5.61950612394409	6	0.9915117602956952	2.1332129177732555	2.1332129177732555	0.9973003676316686		265.14370	285.1361337601394	25_group2_sirius_9462	9462
1	C35H55N5O4	[M + H]+	C35H55N5O4	7.566371161054949	1.9308877179270123	5.635483443127937	2	1.0	0.5493143690355177	0.5493143690355177	-0.2812630188867298		610.43251	433.33000000000004	26_group2_sirius_16169	16169
1	C25H47NO7	[M + H]+	C25H47NO7	16.935744300583647	16.935744300583647	0.0	5	1.0	1.5172234056015115	1.840163513236534	0.0014839686625602749		474.34253	223.17374999999998	27_group2_sirius_6041	6041
1	C24H50O6	[M + Na]+	C24H50O6	8.299854862726367	3.45378425416539	4.846070608560977	1	0.0	-0.5663501910517208	0.5663501910517208	-0.5904018225332678		457.34969	364.87054687500006	28_group2_sirius_12841	12841
1	C11H25N3O6	[M + H]+	C11H25N3O6	59.79630362740552	59.79630362740552	0.0	12	0.8042509708607976	6.78250400725705	7.491735275398351	4.112419040252175		296.18283	164.085	29_group2_sirius_2927	2927
1	C15H28O3	[M + K]+	C15H28O3	96.26641933648574	92.29635878691298	3.9700605495727697	29	0.8510428142438426	5.229618128849634	5.443776822310021	-3.905790898668057		295.16585	166.365625	30_group2_sirius_3119	3119
1	C8H14N2O2	[M + H]+	C8H14N2O2	21.071611840726526	18.576844136623773	2.494767704102751	5	0.9654157837484445	7.7903270570304475	7.7903270570304475	0.26800973437722925		171.11285	57.78	31_group2_sirius_483	483
1	C20H34O6	[M - H4O2 + H]+	C20H30O4	117.9054549408828	114.45500238402325	3.4504525568595534	33	0.9981607156716096	3.5076343351516623	3.5076343351516623	-107455.23239272597		335.22151	209.58199075693267	32_group2_sirius_5326	5326
1	C13H12O3	[M + Na]+	C13H12O3	6.437027966746978	3.4999999999999996	2.9370279667469785	1	0.0	NaN	NaN	2.5727185344214227		239.06848	92.95	33_group2_sirius_734	734
1	C47H67NO2	[M + H]+	C47H67NO2	1.2665856776208746	1.2665856776208746	0.0	2	0.9928624682839061	10.52901617000593	10.52901617000593	-0.2753565329452456		678.52427	481.7673478249181	34_group2_sirius_16923	16923
1	C13H24N2	[M + H]+	C13H24N2	3.505279733285091	3.505279733285091	0.0	2	0.5229685991709727	2.5926130715105775	2.5926130715105775	1.6958758604312132		209.20158	191.26	35_group2_sirius_4357	4357
1	C5H15N2O6	[M + H]+	C5H15N2O6	37.861052223556015	35.81443520225638	2.0466170212996424	6	0.813197746088679	1.4727679955066948	1.4727679955066948	-2.0372430533273795		200.09988	124.61	36_group2_sirius_1153	1153
1	C17H36O3	[M + H]+	C17H36O3	44.54978717411644	38.55264293338461	5.997144240731827	6	0.9824968595838846	6.417777340138571	6.417777340138571	-0.3507547300907962		289.27362	310.83000000000004	37_group2_sirius_10376	10376
1	C13H25NO3	[M + H]+	C13H25NO3	3.8063353939385642	1.0	2.8063353939385642	1	0.0	NaN	NaN	1.1871358798294624		244.19101	408.96	38_group2_sirius_15128	15128
1	C15H30N2O3	[M + H]+	C15H30N2O3	20.95498622998426	15.379350307313626	5.575635922670635	5	1.0000000000000002	2.825107679014782	2.825107679014782	-0.9722853589861582		287.23264	184.07999999999998	39_group2_sirius_3967	3967
1	C21H22O6	[M + H]+	C21H22O6	40.23946645907526	40.23946645907526	0.0	17	0.9381810887170792	3.1958269813423628	3.1958269813423628	2.3309293339132813		371.14978	256.9262478002638	40_group2_sirius_7852	7852
1	C12H21NO6	[M + H]+	C12H21NO6	17.422935766434637	14.511795123856482	2.911140642578156	3	1.0	1.517539414170433	1.517539414170433	-0.2674114462479512		276.14409	86.80921875	41_group2_sirius_710	710
1	C18H38O7S	[M + Na]+	C18H38O7S	12.317709330011633	9.087520750960792	3.230188579050842	2	0.9805549919766863	0.6405666602820226	0.6405666602820226	0.3436275897248434		421.22319	316.590625	42_group2_sirius_10562	10562
1	C18H32O7	[M + Na]+	C18H32O7	43.07567632423655	41.13468702527004	1.9409892989665096	18	0.9463238449824657	2.9438819707886124	3.3021408624532222	2.494581123329184		383.20498	202.78212681285024	43_group2_sirius_4919	4919
